code_postal,n,lat,long
G0J3E0,9,48.68531274285714,-67.36453984285714
G0J3G0,2,NA,NA
G0J3H0,10,NA,NA
G0J3J0,10,NA,NA
G0J3K0,8,48.56480725555556,-67.68594834444444
G0J3L0,7,48.5335937,-67.551408
G0J3N0,4,NA,NA
G0K1A0,1,NA,NA
G0K1B0,2,NA,NA
G0K1C0,2,48.3818354,-68.1093266
G0K1H0,19,48.47662746666667,-68.42426813333334
G0K1K0,1,NA,NA
G0K1L0,10,NA,NA
G0K1M0,2,48.424343730000004,-68.17225929
G0K1P0,29,48.536876496153845,-68.36608584615384
G0K1R0,2,NA,NA
G0K1S0,5,NA,NA
G0K1T0,7,NA,NA
G0K1V0,1,NA,NA
G0L1A0,1,47.7274075,-68.6466577
G0L1B0,18,48.39044073333333,-68.66899986666667
G0L1E0,24,47.67629417647059,-68.87282034705882
G0L1G0,24,47.9561147,-69.43282335
G0L1J0,7,47.45687603428571,-69.22895078857142
G0L1K0,18,48.0161892,-69.33761335
G0L1L0,2,47.9275175,-69.1695285
G0L1M0,5,47.56021081428571,-69.85726227142857
G0L1P0,1,NA,NA
G0L1T0,1,NA,NA
G0L1V0,1,NA,NA
G0L1W0,3,47.4354148,-69.871814828
G0L1X0,5,47.6165107,-68.811213
G0L1Y0,26,NA,NA
G0L1Z0,6,NA,NA
G0L2B0,4,47.40526485,-69.0422617
G0L2C0,14,NA,NA
G0L2G0,6,47.7035635,-69.6607177
G0L2H0,5,47.6436331,-69.7587116
G0L2J0,14,47.765397166666666,-69.43861868333333
G0L2K0,6,NA,NA
G0L2L0,1,NA,NA
G0L2N0,2,NA,NA
G0L2P0,8,47.9014788,-69.0265305
G0L2R0,5,47.5064225,-69.95846106666666
G0L2V0,5,NA,NA
G0L2X0,2,NA,NA
G0L2Y0,3,NA,NA
G0L2Z0,11,48.2962297,-68.86626697142857
G0L3B0,2,NA,NA
G0L3E0,5,NA,NA
G0L3G0,5,47.6286986,-69.7689681
G0L3J0,7,47.5899349,-69.7344437
G0L3K0,2,NA,NA
G0L3L0,7,47.8090356,-69.1561973
G0L3M0,9,NA,NA
G0L3P0,2,NA,NA
G0L3R0,2,NA,NA
G0L3S0,1,NA,NA
G0L3T0,8,48.1851617,-68.983804
G0L3V0,2,NA,NA
G0L3W0,5,NA,NA
G0L3X0,19,47.4337262,-69.952507
G0L3Y0,24,47.5281358,-69.81453441666666
G0L4B0,4,NA,NA
G0L4C0,1,48.2081067,-69.0345051
G0L4E0,4,48.3392667,-68.6576881
G0L4G0,6,NA,NA
G0L4H0,7,NA,NA
G0L4K0,36,48.11890948333333,-69.18790499444444
G0M1B0,8,NA,NA
G0M1C0,3,45.8811375,-70.9914574
G0M1G0,7,45.96506314,-70.93595762000001
G0M1H0,26,45.8337317,-71.092977200000007
G0M1H1,1,NA,NA
G0M1J0,21,46.0716262,-70.5067861
G0M1K0,19,46.1770762,-70.7222605
G0M1L0,7,NA,NA
G0M1M0,14,NA,NA
G0M1N0,11,NA,NA
G0M1P0,29,NA,NA
G0M1R0,19,46.06290304285714,-70.94777798571428
G0M1S0,11,NA,NA
G0M1T0,7,45.855557,-70.6355677
G0M1V0,11,45.960502,-70.8195904
G0M1W0,6,45.7430829,-70.6907537
G0M1Y0,35,46.2632494,-70.4635904
G0M1Z0,9,NA,NA
G0M2A0,3,NA,NA
G0M2B0,13,46.142323707575756,-70.89728512878787
G0M2C0,14,NA,NA
G0N1B0,25,45.98496365,-71.4421896
G0N1C0,6,NA,NA
G0N1E0,33,45.90295545,-71.35699885
G0N1E1,6,NA,NA
G0N1E2,2,NA,NA
G0N1G0,14,NA,NA
G0N1H0,5,NA,NA
G0N1J0,8,46.2925619,-71.3353213
G0N1K0,5,NA,NA
G0N1M0,2,NA,NA
G0N1N0,20,46.108368161904764,-71.57798987142857
G0N1P0,8,46.2998004,-70.9692922
G0N1R0,17,NA,NA
G0N1S0,24,46.04533265,-71.07569465
G0N1T0,11,NA,NA
G0N1V0,2,46.3261908,-71.0531867
G0N1X0,12,46.24609025,-71.0389502
G0P1A0,6,45.8546545,-71.6392629
G0P1A1,12,NA,NA
G0P1B0,19,NA,NA
G0P1C0,6,45.9078518,-71.7346667
G0P1G0,4,NA,NA
G0P1H0,9,NA,NA
G0P1J0,25,45.9629203,-71.8217321
G0P1K0,8,NA,NA
G0P1L0,7,NA,NA
G0P1M0,4,46.04751223333333,-72.05942693333334
G0R1A0,28,46.7418729,-70.58896685
G0R1B0,1,NA,NA
G0R1C0,48,46.82442035,-70.9903547
G0R1E0,38,46.90772055,-70.70855685
G0R1G0,6,46.6256798,-70.5377455
G0R1H0,27,47.01603215,-70.4535753
G0R1L0,5,NA,NA
G0R1M0,28,46.4790145,-70.81951535
G0R1N0,3,46.6540413,-70.883563
G0R1P0,2,NA,NA
G0R1S0,34,46.39236883333333,-70.48838633333334
G0R1W0,13,NA,NA
G0R1X0,6,47.09162036666667,-70.33035086666666
G0R1Y0,23,NA,NA
G0R1Z0,53,47.365764570454544,-70.04302791136364
G0R2B0,11,47.1286508,-70.3713165
G0R2C0,5,47.0996709,-70.3445331
G0R2H0,2,46.8229409,-70.3887258
G0R2J0,5,NA,NA
G0R2L0,3,NA,NA
G0R2M0,6,NA,NA
G0R2N0,21,46.6295817,-70.9697488
G0R2R0,8,NA,NA
G0R2S0,13,NA,NA
G0R2T0,12,46.76705848,-70.94265238
G0R2V0,25,46.6000558,-70.85884305
G0R2W0,2,NA,NA
G0R2X0,1,NA,NA
G0R2Y0,8,46.6233413,-70.654544
G0R2Z0,6,NA,NA
G0R3A0,17,46.8911186,-70.7078364
G0R3C0,10,46.71643701666667,-70.89081301666667
G0R3E0,46,46.68347856666667,-71.07371023333334
G0R3G0,41,47.2050572,-70.25533194615385
G0R3H0,1,46.56995582631579,-70.08842759473684
G0R3J0,15,46.6547257,-70.8096419
G0R3K0,8,NA,NA
G0R3M0,5,NA,NA
G0R3N0,20,46.5378884,-70.784945
G0R3R0,7,NA,NA
G0R3S0,19,NA,NA
G0R3T0,13,NA,NA
G0R3V0,9,NA,NA
G0R3W0,4,NA,NA
G0R3X0,8,46.963685260000005,-69.78408291333334
G0R3Y0,6,NA,NA
G0R3Z0,18,47.05889886666667,-69.92791846666667
G0R4A0,4,NA,NA
G0R4B0,11,NA,NA
G0R4C0,18,46.799003475,-70.757382025
G0R4E0,22,47.308172160000005,-70.15726418
G0R4G0,2,46.3282684,-70.4148077
G0R4H0,6,NA,NA
G0R4J0,13,NA,NA
G0R4L0,14,46.4368175,-70.5742915
G0R4M0,3,47.1083258,-70.0058962
G0R4P0,1,NA,NA
G0R4R0,2,47.3105689,-70.1751516
G0S1B0,12,46.4116388,-71.23764183333334
G0S1G0,17,46.5558994,-72.1176833
G0S1H0,12,NA,NA
G0S1J0,12,46.4670544,-72.0688538
G0S1K0,11,46.260934039999995,-71.49385744
G0S1L0,4,NA,NA
G0S1M0,14,46.46664605,-71.7345974
G0S1N0,22,46.54343795,-71.62886418333333
G0S1P0,7,NA,NA
G0S1S0,20,NA,NA
G0S1T0,3,NA,NA
G0S1V0,11,46.3680118625,-71.60316955
G0S1W0,8,46.4818409,-71.2332483
G0S1X0,10,NA,NA
G0S1Y0,12,46.5718934,-71.8269158
G0S1Z0,29,46.56558844,-71.43844222
G0S2A0,7,46.35198323333333,-71.41994066666666
G0S2C0,86,NA,NA
G0S2E0,69,46.6213001,-71.49879032
G0S2G0,17,46.5013111,-71.1322776
G0S2H0,15,46.6236467,-71.73507205
G0S2J1,3,NA,NA
G0S2J2,9,NA,NA
G0S2K0,10,NA,NA
G0S2M0,29,46.5242413,-71.6123074
G0S2N0,6,NA,NA
G0S2P0,21,46.51243286666667,-71.36716935
G0S2R0,7,46.5583321,-70.9840609
G0S2S0,35,46.55745283333333,-71.115979
G0S2V0,57,46.3009886,-70.86915361428572
G0S2W0,71,46.58941761818182,-71.20717279090908
G0S2X0,13,46.5112398,-70.938536
G0S3A0,9,NA,NA
G0S3C0,16,46.3676131,-71.2122849
G0S3E0,11,46.4197748,-70.8757635
G0S3G0,26,46.508094533333335,-71.0654912
G0S3H0,6,NA,NA
G0S3J0,19,46.37898020714286,-70.92813676428572
G0S3K0,5,46.3732944,-71.8562632
G0T1E0,9,48.734104333333335,-69.09314671666667
G0T1G0,7,48.295361166666666,-69.4553656
G0T1K0,8,48.33092367142857,-69.40798757142858
G0T1L0,3,NA,NA
G0T1P0,2,48.6188066,-69.10657565
G0T1S0,9,47.7395195,-70.3835231
G0T1V0,15,47.5685439,-70.20652366666667
G0T1X0,4,47.835154960000004,-69.88528694
G0T1Y0,5,48.256459225,-69.8504286
G0T1Z0,5,NA,NA
G0T2A0,6,48.15037403333333,-69.71077576666666
G0V1A0,1,48.3380978,-70.9902809
G0V1B0,9,48.6721283,-71.3604498
G0V1C0,17,48.62907465,-71.14538265
G0V1G0,5,48.5166706,-71.3975143
G0V1H0,7,48.06952765,-70.82061606666666
G0V1J0,21,48.2029803,-70.23519046
G0V1L0,29,48.5236586,-71.089071
G0V1M0,11,48.28324551428571,-70.63409828571429
G0V1N0,1,48.2072504,-69.98863965
G0V1P0,4,48.2578372,-70.4357364
G0V1S0,11,48.44955051111111,-70.84274614444445
G0V1T0,5,48.3795801,-70.6873537
