datetime,kWh,code_kWh,temperature,code_temperature,date,hour,month,week
2018-08-12T14:00:00Z,0.29,R,29,R,2018-08-12,14,2018-08-01,2018-08-12
2018-08-12T13:00:00Z,0.82,R,29,R,2018-08-12,13,2018-08-01,2018-08-12
2018-08-12T12:00:00Z,0.27,R,28,R,2018-08-12,12,2018-08-01,2018-08-12
2018-08-12T11:00:00Z,0.32,R,28,R,2018-08-12,11,2018-08-01,2018-08-12
2018-08-12T10:00:00Z,0.81,R,27,R,2018-08-12,10,2018-08-01,2018-08-12
2018-08-12T09:00:00Z,0.29,R,26,R,2018-08-12,9,2018-08-01,2018-08-12
2018-08-12T08:00:00Z,0.79,R,23,R,2018-08-12,8,2018-08-01,2018-08-12
2018-08-12T07:00:00Z,0.28,R,21,R,2018-08-12,7,2018-08-01,2018-08-12
2018-08-12T06:00:00Z,0.82,R,19,R,2018-08-12,6,2018-08-01,2018-08-12
2018-08-12T05:00:00Z,0.29,R,16,R,2018-08-12,5,2018-08-01,2018-08-12
2018-08-12T04:00:00Z,0.83,R,13,R,2018-08-12,4,2018-08-01,2018-08-12
2018-08-12T03:00:00Z,0.28,R,14,R,2018-08-12,3,2018-08-01,2018-08-12
2018-08-12T02:00:00Z,0.83,R,14,R,2018-08-12,2,2018-08-01,2018-08-12
2018-08-12T01:00:00Z,0.29,R,14,R,2018-08-12,1,2018-08-01,2018-08-12
2018-08-12T00:00:00Z,0.84,R,15,R,2018-08-12,0,2018-08-01,2018-08-12
2018-08-11T23:00:00Z,0.34,R,17,R,2018-08-11,23,2018-08-01,2018-08-05
2018-08-11T22:00:00Z,0.83,R,18,R,2018-08-11,22,2018-08-01,2018-08-05
2018-08-11T21:00:00Z,0.28,R,17,R,2018-08-11,21,2018-08-01,2018-08-05
2018-08-11T20:00:00Z,0.79,R,18,R,2018-08-11,20,2018-08-01,2018-08-05
2018-08-11T19:00:00Z,0.32,R,19,R,2018-08-11,19,2018-08-01,2018-08-05
2018-08-11T18:00:00Z,0.8,R,21,R,2018-08-11,18,2018-08-01,2018-08-05
2018-08-11T17:00:00Z,0.28,R,25,R,2018-08-11,17,2018-08-01,2018-08-05
2018-08-11T16:00:00Z,0.81,R,27,R,2018-08-11,16,2018-08-01,2018-08-05
2018-08-11T15:00:00Z,0.3,R,28,R,2018-08-11,15,2018-08-01,2018-08-05
2018-08-11T14:00:00Z,0.78,R,28,R,2018-08-11,14,2018-08-01,2018-08-05
2018-08-11T13:00:00Z,0.28,R,27,R,2018-08-11,13,2018-08-01,2018-08-05
2018-08-11T12:00:00Z,0.81,R,27,R,2018-08-11,12,2018-08-01,2018-08-05
2018-08-11T11:00:00Z,0.3,R,26,R,2018-08-11,11,2018-08-01,2018-08-05
2018-08-11T10:00:00Z,0.78,R,24,R,2018-08-11,10,2018-08-01,2018-08-05
2018-08-11T09:00:00Z,0.28,R,23,R,2018-08-11,9,2018-08-01,2018-08-05
2018-08-11T08:00:00Z,0.8,R,21,R,2018-08-11,8,2018-08-01,2018-08-05
2018-08-11T07:00:00Z,0.29,R,19,R,2018-08-11,7,2018-08-01,2018-08-05
2018-08-11T06:00:00Z,0.82,R,17,R,2018-08-11,6,2018-08-01,2018-08-05
2018-08-11T05:00:00Z,0.3,R,13,R,2018-08-11,5,2018-08-01,2018-08-05
2018-08-11T04:00:00Z,0.8,R,12,R,2018-08-11,4,2018-08-01,2018-08-05
2018-08-11T03:00:00Z,0.79,R,12,R,2018-08-11,3,2018-08-01,2018-08-05
2018-08-11T02:00:00Z,0.32,R,10,R,2018-08-11,2,2018-08-01,2018-08-05
2018-08-11T01:00:00Z,0.79,R,13,R,2018-08-11,1,2018-08-01,2018-08-05
2018-08-11T00:00:00Z,0.28,R,13,R,2018-08-11,0,2018-08-01,2018-08-05
2018-08-10T23:00:00Z,0.79,R,14,R,2018-08-10,23,2018-08-01,2018-08-05
2018-08-10T22:00:00Z,0.32,R,15,R,2018-08-10,22,2018-08-01,2018-08-05
2018-08-10T21:00:00Z,0.78,R,15,R,2018-08-10,21,2018-08-01,2018-08-05
2018-08-10T20:00:00Z,0.3,R,16,R,2018-08-10,20,2018-08-01,2018-08-05
2018-08-10T19:00:00Z,0.79,R,16,R,2018-08-10,19,2018-08-01,2018-08-05
2018-08-10T18:00:00Z,0.78,R,18,R,2018-08-10,18,2018-08-01,2018-08-05
2018-08-10T17:00:00Z,0.3,R,22,R,2018-08-10,17,2018-08-01,2018-08-05
2018-08-10T16:00:00Z,0.77,R,24,R,2018-08-10,16,2018-08-01,2018-08-05
2018-08-10T15:00:00Z,1.15,R,24,R,2018-08-10,15,2018-08-01,2018-08-05
2018-08-10T14:00:00Z,3.13,R,24,R,2018-08-10,14,2018-08-01,2018-08-05
2018-08-10T13:00:00Z,1.5,R,23,R,2018-08-10,13,2018-08-01,2018-08-05
2018-08-10T12:00:00Z,1.74,R,23,R,2018-08-10,12,2018-08-01,2018-08-05
2018-08-10T11:00:00Z,4.22,R,22,R,2018-08-10,11,2018-08-01,2018-08-05
2018-08-10T10:00:00Z,2.62,R,21,R,2018-08-10,10,2018-08-01,2018-08-05
2018-08-10T09:00:00Z,1.27,R,19,R,2018-08-10,9,2018-08-01,2018-08-05
2018-08-10T08:00:00Z,3.27,R,18,R,2018-08-10,8,2018-08-01,2018-08-05
2018-08-10T07:00:00Z,0.34,R,18,R,2018-08-10,7,2018-08-01,2018-08-05
2018-08-10T06:00:00Z,0.81,R,17,R,2018-08-10,6,2018-08-01,2018-08-05
2018-08-10T05:00:00Z,0.29,R,16,R,2018-08-10,5,2018-08-01,2018-08-05
2018-08-10T04:00:00Z,0.84,R,15,R,2018-08-10,4,2018-08-01,2018-08-05
2018-08-10T03:00:00Z,0.32,R,14,R,2018-08-10,3,2018-08-01,2018-08-05
2018-08-10T02:00:00Z,0.84,R,16,R,2018-08-10,2,2018-08-01,2018-08-05
2018-08-10T01:00:00Z,0.71,R,17,R,2018-08-10,1,2018-08-01,2018-08-05
2018-08-10T00:00:00Z,1.08,R,17,R,2018-08-10,0,2018-08-01,2018-08-05
2018-08-09T23:00:00Z,1.27,R,18,R,2018-08-09,23,2018-08-01,2018-08-05
2018-08-09T22:00:00Z,0.23,R,18,R,2018-08-09,22,2018-08-01,2018-08-05
2018-08-09T21:00:00Z,0.17,R,18,R,2018-08-09,21,2018-08-01,2018-08-05
2018-08-09T20:00:00Z,0.75,R,19,R,2018-08-09,20,2018-08-01,2018-08-05
2018-08-09T19:00:00Z,0.19,R,19,R,2018-08-09,19,2018-08-01,2018-08-05
2018-08-09T18:00:00Z,0.76,R,20,R,2018-08-09,18,2018-08-01,2018-08-05
2018-08-09T17:00:00Z,0.17,R,21,R,2018-08-09,17,2018-08-01,2018-08-05
2018-08-09T16:00:00Z,0.17,R,22,R,2018-08-09,16,2018-08-01,2018-08-05
2018-08-09T15:00:00Z,0.8,R,22,R,2018-08-09,15,2018-08-01,2018-08-05
2018-08-09T14:00:00Z,0.18,R,20,R,2018-08-09,14,2018-08-01,2018-08-05
2018-08-09T13:00:00Z,0.25,R,20,R,2018-08-09,13,2018-08-01,2018-08-05
2018-08-09T12:00:00Z,0.93,R,26,R,2018-08-09,12,2018-08-01,2018-08-05
2018-08-09T11:00:00Z,0.16,R,26,R,2018-08-09,11,2018-08-01,2018-08-05
2018-08-09T10:00:00Z,0.2,R,24,R,2018-08-09,10,2018-08-01,2018-08-05
2018-08-09T09:00:00Z,0.76,R,25,R,2018-08-09,9,2018-08-01,2018-08-05
2018-08-09T08:00:00Z,0.2,R,23,R,2018-08-09,8,2018-08-01,2018-08-05
2018-08-09T07:00:00Z,0.19,R,21,R,2018-08-09,7,2018-08-01,2018-08-05
2018-08-09T06:00:00Z,0.75,R,21,R,2018-08-09,6,2018-08-01,2018-08-05
2018-08-09T05:00:00Z,0.18,R,20,R,2018-08-09,5,2018-08-01,2018-08-05
2018-08-09T04:00:00Z,0.78,R,20,R,2018-08-09,4,2018-08-01,2018-08-05
2018-08-09T03:00:00Z,0.17,R,20,R,2018-08-09,3,2018-08-01,2018-08-05
2018-08-09T02:00:00Z,0.18,R,20,R,2018-08-09,2,2018-08-01,2018-08-05
2018-08-09T01:00:00Z,0.74,R,21,R,2018-08-09,1,2018-08-01,2018-08-05
2018-08-09T00:00:00Z,0.16,R,22,R,2018-08-09,0,2018-08-01,2018-08-05
2018-08-08T23:00:00Z,0.56,R,22,R,2018-08-08,23,2018-08-01,2018-08-05
2018-08-08T22:00:00Z,0.39,R,22,R,2018-08-08,22,2018-08-01,2018-08-05
2018-08-08T21:00:00Z,0.18,R,22,R,2018-08-08,21,2018-08-01,2018-08-05
2018-08-08T20:00:00Z,0.73,R,22,R,2018-08-08,20,2018-08-01,2018-08-05
