Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Caron Vincent C.A.Q.-É.F.L.;Gasse Philippe P.L.Q./Q.L.P.;Guimont Constance C.P.Q.;Hébert Christian P.Q.;Morin Guy P.C.Q./C.P.Q.;Pelletier Odile Q.S.;B.V.;B.R.;
714;Portneuf;2018-10-01;G;BVA13: SV no 68 à 73;;;;0;262;69;2;31;25;32;421;5;
714;Portneuf;2018-10-01;G;BVA14: SV no 74 à 79;;;;0;239;90;3;45;20;45;442;11;
714;Portneuf;2018-10-01;G;BVA15: SV no 87 à 94;;;;0;168;62;1;19;14;27;291;4;
714;Portneuf;2018-10-01;G;BVA16: SV no 95 à 101;;;;0;225;120;2;28;13;38;426;7;
714;Portneuf;2018-10-01;G;BVA17: SV no 102 à 107;;;;0;151;67;4;16;11;21;270;4;
714;Portneuf;2018-10-01;G;BVA18: SV no 108 à 114;;;;0;260;109;2;25;18;33;447;2;
714;Portneuf;2018-10-01;G;Vote en installation d'hébergement;;;;0;183;203;5;31;8;28;458;18;
714;Portneuf;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;90;71;9;10;8;14;202;5;
714;Portneuf;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;891;327;14;213;90;234;1769;39;
714;Portneuf;2018-10-01;G;Vote hors circonscription;;;;0;78;29;2;27;13;117;266;16;
714;Portneuf;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;21;0;0;0;0;0;0;0;0;
714;Portneuf;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;23;0;0;0;0;0;0;0;0;
714;Portneuf;2018-10-01;G;Total de la circonscription;;;;42771;15994;5559;282;2727;1524;3364;29450;621;
714;Portneuf;2018-10-01;G;Majorité en faveur de Vincent Caron : 10435
