Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baronian Sylvia C.A.Q.-É.F.L.;Barrette Gaétan P.L.Q./Q.L.P.;Dini Aziza P.V.Q./G.P.Q.;El Youbi Anwar P.C.Q./C.P.Q.;Gagnon Suzanne P.Q.;Hayes Patrick Ind;Hu Fang Ind;Pagès Marie Q.S.;Sellah Djaouida N.P.D.Q.;B.V.;B.R.;
236;La Pinière;2018-10-01;G;Brossard, v;12;;115;407;49;123;6;5;13;0;1;16;3;216;1;
236;La Pinière;2018-10-01;G;Brossard, v;12;;116;397;44;117;4;4;9;1;3;19;2;203;4;
236;La Pinière;2018-10-01;G;Brossard, v;12;;117;404;44;96;3;3;17;1;3;16;2;185;2;
236;La Pinière;2018-10-01;G;Brossard, v;12;;118;397;42;82;2;4;7;0;0;13;2;152;5;
236;La Pinière;2018-10-01;G;Brossard, v;12;;119;403;35;88;3;6;3;0;0;10;0;145;1;
236;La Pinière;2018-10-01;G;Brossard, v;12;;120;396;53;89;2;3;12;1;2;15;1;178;2;
236;La Pinière;2018-10-01;G;Brossard, v;12;;121;408;53;95;5;1;9;3;2;16;1;185;0;
236;La Pinière;2018-10-01;G;Brossard, v;12;;122;403;29;110;2;0;4;0;1;5;3;154;2;
236;La Pinière;2018-10-01;G;Brossard, v;12;;123;391;61;60;0;4;25;2;0;18;3;173;2;
236;La Pinière;2018-10-01;G;Brossard, v;12;;124A;218;20;42;2;1;9;0;0;8;0;82;0;
236;La Pinière;2018-10-01;G;Brossard, v;12;;124B;237;37;22;1;2;9;2;0;13;1;87;3;
236;La Pinière;2018-10-01;G;Brossard, v;12;;125;388;65;57;0;2;14;0;1;16;0;155;3;
236;La Pinière;2018-10-01;G;Brossard, v;12;;126A;236;46;24;1;1;5;1;0;6;1;85;3;
236;La Pinière;2018-10-01;G;Brossard, v;12;;126B;231;35;37;1;0;13;0;0;12;1;99;0;
236;La Pinière;2018-10-01;G;Brossard, v;12;;127;403;77;43;1;4;21;0;0;29;2;177;2;
236;La Pinière;2018-10-01;G;Brossard, v;12;;128;400;54;68;1;3;6;0;0;22;2;156;0;
236;La Pinière;2018-10-01;G;Brossard, v;12;;129;404;33;123;5;2;7;0;0;6;0;176;2;
236;La Pinière;2018-10-01;G;Brossard, v;12;;130A;213;15;64;0;0;2;1;0;1;1;84;1;
236;La Pinière;2018-10-01;G;Brossard, v;12;;130B;226;27;64;5;4;4;0;0;3;1;108;0;
236;La Pinière;2018-10-01;G;Brossard, v;12;;131;402;55;89;3;7;11;1;1;12;2;181;0;
236;La Pinière;2018-10-01;G;Brossard, v;12;;132;416;55;52;2;1;14;0;0;9;0;133;1;
236;La Pinière;2018-10-01;G;Brossard, v;12;;133;400;49;104;4;1;10;0;2;6;1;177;0;
236;La Pinière;2018-10-01;G;Brossard, v;12;;134;392;69;72;2;1;5;1;0;6;3;159;0;
236;La Pinière;2018-10-01;G;Brossard, v;1;Regr. BVO-13;500;198;0;0;0;0;0;0;0;0;0;0;0;
236;La Pinière;2018-10-01;G;Brossard, v;1;Regr. BVO-13;501;316;0;0;0;0;0;0;0;0;0;0;0;
236;La Pinière;2018-10-01;G;Brossard, v;1;Regr. BVO-17;502;296;0;0;0;0;0;0;0;0;0;0;0;
236;La Pinière;2018-10-01;G;Brossard, v;1;Regr. BVO-14;503;483;0;0;0;0;0;0;0;0;0;0;0;
236;La Pinière;2018-10-01;G;Brossard, v;9;Regr. BVO-74;504;52;0;0;0;0;0;0;0;0;0;0;0;
236;La Pinière;2018-10-01;G;Brossard, v;11;Regr. BVO-104;505;247;0;0;0;0;0;0;0;0;0;0;0;
236;La Pinière;2018-10-01;G;Brossard, v;11;Regr. BVO-109;506;57;0;0;0;0;0;0;0;0;0;0;0;
236;La Pinière;2018-10-01;G;Brossard, v;12;Regr. BVO-131;507;414;0;0;0;0;0;0;0;0;0;0;0;
236;La Pinière;2018-10-01;G;BVA1: SV no 105 à 110, 133;;;;0;111;150;5;4;41;0;0;27;2;340;2;
236;La Pinière;2018-10-01;G;BVA2: SV no 113 à 119;;;;0;92;146;7;2;30;2;0;18;1;298;5;
236;La Pinière;2018-10-01;G;BVA3: SV no 122 à 128;;;;0;74;100;1;0;20;2;1;14;0;212;2;
236;La Pinière;2018-10-01;G;BVA4: SV no 111 à 112, 120 à 121, 129 à 130, 134;;;;0;108;98;3;3;20;5;1;16;0;254;1;
236;La Pinière;2018-10-01;G;BVA5: SV no 49 à 54, 132;;;;0;65;73;2;3;26;0;0;14;1;184;2;
236;La Pinière;2018-10-01;G;BVA6: SV no 57 à 58, 61 à 64, 95;;;;0;59;75;1;0;29;1;0;15;0;180;1;
236;La Pinière;2018-10-01;G;BVA7: SV no 59 à 60, 66 à 70;;;;0;72;112;3;4;35;2;1;23;1;253;2;
