Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Audet Yves C.P.Q.;Coderre Émile P.V.Q./G.P.Q.;Lamontagne André C.A.Q.-É.F.L.;Leblanc-Marcil Andrew N.P.D.Q.;Saint-Cyr Lanoie Sarah Q.S.;Tétreault Jacques P.Q.;Vaes François P.L.Q./Q.L.P.;Vignola Jean-François P.C.Q./C.P.Q.;B.V.;B.R.;
126;Johnson;2018-10-01;G;Saint-Germain-de-Grantham, m;1;;146;405;0;3;141;2;39;27;17;5;234;6;
126;Johnson;2018-10-01;G;Saint-Germain-de-Grantham, m;1;;147A;199;0;2;67;1;18;11;15;6;120;3;
126;Johnson;2018-10-01;G;Saint-Germain-de-Grantham, m;1;;147B;233;0;1;61;0;18;15;17;3;115;2;
126;Johnson;2018-10-01;G;Saint-Germain-de-Grantham, m;1;;148;411;0;2;112;0;28;41;29;6;218;3;
126;Johnson;2018-10-01;G;Saint-Germain-de-Grantham, m;1;;149;405;3;8;98;1;37;17;10;7;181;5;
126;Johnson;2018-10-01;G;Saint-Germain-de-Grantham, m;1;;150;425;0;4;144;0;59;32;27;7;273;2;
126;Johnson;2018-10-01;G;Saint-Germain-de-Grantham, m;1;;151;407;1;2;147;3;43;35;13;8;252;5;
126;Johnson;2018-10-01;G;Saint-Germain-de-Grantham, m;1;;152;403;1;3;109;2;34;25;30;2;206;5;
126;Johnson;2018-10-01;G;Saint-Edmond-de-Grantham, p;1;;153;274;0;3;107;0;38;26;22;4;200;3;
126;Johnson;2018-10-01;G;Saint-Edmond-de-Grantham, p;1;;154;294;1;5;96;1;34;32;21;4;194;1;
126;Johnson;2018-10-01;G;Saint-Majorique-de-Grantham, p;1;;155;320;0;3;115;0;33;20;18;6;195;4;
126;Johnson;2018-10-01;G;Saint-Majorique-de-Grantham, p;1;;156;323;2;8;137;1;30;11;26;5;220;1;
126;Johnson;2018-10-01;G;Saint-Majorique-de-Grantham, p;1;;157;336;0;4;137;3;35;22;24;4;229;3;
126;Johnson;2018-10-01;G;Drummondville, v;10;Regr. BVO-6;500;38;0;0;0;0;0;0;0;0;0;0;
126;Johnson;2018-10-01;G;Drummondville, v;10;Regr. BVO-6;501;37;0;0;0;0;0;0;0;0;0;0;
126;Johnson;2018-10-01;G;Drummondville, v;13;Regr. BVO-23;502;61;0;0;0;0;0;0;0;0;0;0;
126;Johnson;2018-10-01;G;Acton Vale, v;1;Regr. BVO-119;503;67;0;0;0;0;0;0;0;0;0;0;
126;Johnson;2018-10-01;G;Acton Vale, v;1;Regr. BVO-120;504;92;0;0;0;0;0;0;0;0;0;0;
126;Johnson;2018-10-01;G;Acton Vale, v;1;Regr. BVO-120;505;56;0;0;0;0;0;0;0;0;0;0;
126;Johnson;2018-10-01;G;Acton Vale, v;1;Regr. BVO-121;506;28;0;0;0;0;0;0;0;0;0;0;
126;Johnson;2018-10-01;G;BVA1: SV no 5, 7, 12, 36, 75 à 77;;;;0;0;2;138;0;33;20;33;3;229;7;
126;Johnson;2018-10-01;G;BVA2: SV no 4, 8 à 10, 13, 31 à 32;;;;0;0;1;160;4;39;38;57;3;302;6;
126;Johnson;2018-10-01;G;BVA3: SV no 11, 14, 20 à 21, 33 à 35;;;;0;1;2;151;2;36;40;38;10;280;5;
126;Johnson;2018-10-01;G;BVA4: SV no 6, 15, 22 à 24, 37 à 38;;;;0;5;4;146;2;64;33;42;2;298;8;
126;Johnson;2018-10-01;G;BVA5: SV no 16, 26, 28 à 29, 39 à 41;;;;0;1;4;171;4;47;61;64;3;355;11;
126;Johnson;2018-10-01;G;BVA6: SV no 17, 30, 42 à 44, 47, 49;;;;0;1;8;153;1;40;37;26;1;267;3;
126;Johnson;2018-10-01;G;BVA7: SV no 18, 45 à 46, 48, 50 à 52;;;;0;1;2;172;1;46;40;39;5;306;9;
126;Johnson;2018-10-01;G;BVA8: SV no 19, 53 à 55, 66 à 68;;;;0;1;4;176;4;39;30;33;3;290;5;
126;Johnson;2018-10-01;G;BVA9: SV no 25, 56 à 57, 59, 69 à 71;;;;0;0;2;144;1;49;32;18;0;246;3;
126;Johnson;2018-10-01;G;BVA10: SV no 27, 60 à 62, 72 à 74;;;;0;1;1;123;0;26;22;17;2;192;1;
126;Johnson;2018-10-01;G;BVA11: SV no 1 à 3, 58, 63 à 65;;;;0;2;2;148;2;37;41;46;2;280;5;
126;Johnson;2018-10-01;G;BVA12: SV no 140 à 146;;;;0;2;2;128;0;26;26;24;5;213;4;
126;Johnson;2018-10-01;G;BVA13: SV no 81 à 82, 136 à 139, 147;;;;0;0;0;83;0;18;9;15;1;126;0;
