Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Lucie P.Q.;Dansereau Nathalie C.A.Q.-É.F.L.;Ftouh Souhail P.C.Q./C.P.Q.;Gagnon David-Roger N.P.D.Q.;Gudmundsson Kathleen Q.S.;Hoffman Rachel P.M.L.Q.;Nichols Cynthia Ind;Walcott Chad P.V.Q./G.P.Q.;Weil Kathleen P.L.Q./Q.L.P.;B.V.;B.R.;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;118;;81;402;6;1;1;4;28;0;0;22;59;121;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;118;;82;385;16;13;3;2;30;0;1;21;100;186;4;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;118;;83;367;5;10;3;4;23;0;0;10;101;156;3;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;118;;84;381;6;11;0;2;21;2;3;21;96;162;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;118;;85;378;5;8;3;6;29;0;1;12;69;133;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;118;;86;361;5;8;3;6;28;0;0;11;65;126;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;118;;87;386;8;4;4;4;36;2;0;14;84;156;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;119;;88A;219;11;3;3;6;21;0;2;7;46;99;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;119;;88B;214;6;11;1;9;19;5;0;8;40;99;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;119;;89;404;6;13;1;9;49;2;2;18;83;183;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;119;;90;415;11;15;1;14;38;1;0;26;110;216;3;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;119;;91;417;23;19;5;4;24;0;0;18;91;184;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;120;;92;415;26;20;0;7;53;0;0;20;95;221;3;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;120;;93;395;8;18;1;6;22;0;2;6;68;131;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;120;;94;407;15;14;1;7;47;0;0;13;85;182;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;120;;95;409;14;15;2;5;41;1;0;11;80;169;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;120;;96;404;12;12;0;5;16;0;2;15;93;155;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;120;;97;391;9;8;2;3;13;0;1;6;94;136;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;121;;98;366;4;8;4;1;4;1;0;4;118;144;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;121;;99;356;23;24;3;2;35;1;0;15;96;199;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;121;;100;371;15;28;0;7;19;0;1;12;98;180;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;121;;101;386;20;25;3;5;29;0;1;12;109;204;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;121;;102;375;14;14;2;3;21;0;1;19;83;157;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;121;;103;368;13;24;0;8;25;2;0;10;105;187;1;
