Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchamp Maryanne P.L.Q./Q.L.P.;Dubois Véronique P.V.Q./G.P.Q.;Durupt Stephane Q.S.;Gadoury Hamelin Diane P.Q.;Lemay Mathieu C.A.Q.-É.F.L.;Morin David P.C.Q./C.P.Q.;B.V.;B.R.;
548;Masson;2018-10-01;G;BVA15: SV no 99 à 106;;;;0;36;10;26;98;210;2;382;6;
548;Masson;2018-10-01;G;BVA16: SV no 107 à 114;;;;0;16;3;26;48;156;0;249;4;
548;Masson;2018-10-01;G;Vote en installation d'hébergement;;;;0;175;10;25;119;366;3;698;14;
548;Masson;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;5;0;1;12;13;0;31;0;
548;Masson;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;258;46;237;437;1139;20;2137;33;
548;Masson;2018-10-01;G;Vote hors circonscription;;;;0;28;11;157;56;76;1;329;12;
548;Masson;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0;
548;Masson;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;2;0;0;0;0;0;0;0;0;
548;Masson;2018-10-01;G;Total de la circonscription;;;;46214;3606;699;4451;6527;17565;263;33111;560;
548;Masson;2018-10-01;G;Majorité en faveur de Mathieu Lemay : 11038
