Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belleau Mona N.P.D.Q.;Gagnon Jonathan P.Q.;Isufi Sabir P.V.Q./G.P.Q.;Lajoie Francis Q.S.;Lévesque Sylvain C.A.Q.-É.F.L.;Pouliot Adrien P.C.Q./C.P.Q.;Tremblay Véronyque P.L.Q./Q.L.P.;B.V.;B.R.
754;Chauveau;2018-10-01;G;BVA19: SV no 129 à 134;;;;0;0;40;6;44;184;39;117;430;12
754;Chauveau;2018-10-01;G;BVA20: SV no 135 à 140;;;;0;0;55;5;42;213;32;104;451;7
754;Chauveau;2018-10-01;G;BVA21: SV no 141 à 146;;;;0;0;33;2;26;133;22;52;268;1
754;Chauveau;2018-10-01;G;BVA22: SV no 93 à 98;;;;0;4;33;6;32;210;33;86;404;8
754;Chauveau;2018-10-01;G;BVA23: SV no 99 à 104;;;;0;4;48;5;29;195;29;94;404;0
754;Chauveau;2018-10-01;G;BVA24: SV no 105 à 109;;;;0;2;27;6;28;155;16;67;301;3
754;Chauveau;2018-10-01;G;BVA25: SV no 72 à 77;;;;0;1;46;3;41;194;32;114;431;6
754;Chauveau;2018-10-01;G;Vote en installation d'hébergement;;;;0;9;25;5;17;79;7;103;245;9
754;Chauveau;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
754;Chauveau;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;16;175;23;196;955;171;513;2049;34
754;Chauveau;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
754;Chauveau;2018-10-01;G;Vote hors circonscription;;;;0;6;47;17;175;120;15;68;448;16
754;Chauveau;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;23;0;0;0;0;0;0;0;0;0
754;Chauveau;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;42;0;0;0;0;0;0;0;0;0
754;Chauveau;2018-10-01;G;Total de la circonscription;;;;56405;286;3603;613;4052;18424;3371;8797;39146;787
754;Chauveau;2018-10-01;G;Majorité en faveur de Sylvain Lévesque : 9627;;;;;;;;;;;;;
