Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Desharnais Annie Q.S.;E. Razz B.P.;G.-Ducharme Cédric P.Q.;Gravel Nicolas P.V.Q./G.P.Q.;Jolin-Barrette Simon C.A.Q.-É.F.L.;Lecompte André P.C.Q./C.P.Q.;Martin André N.P.D.Q.;Nichols Martin P.L.Q./Q.L.P.;Thévenot Stéphane C.P.Q.;B.V.;B.R.
258;Borduas;2018-10-01;G;Saint-Denis-sur-Richelieu, m;1;;147;372;49;0;81;1;114;1;0;19;1;266;7
258;Borduas;2018-10-01;G;Saint-Denis-sur-Richelieu, m;1;;148;359;48;1;86;4;86;3;0;20;0;248;5
258;Borduas;2018-10-01;G;Saint-Denis-sur-Richelieu, m;1;;149;365;26;0;88;4;114;3;1;27;0;263;0
258;Borduas;2018-10-01;G;Saint-Denis-sur-Richelieu, m;1;;150;371;32;1;52;6;123;3;0;25;0;242;1
258;Borduas;2018-10-01;G;Sainte-Madeleine, vl;1;;151;347;19;2;39;2;129;2;0;21;2;216;2
258;Borduas;2018-10-01;G;Sainte-Madeleine, vl;1;;152;360;27;2;42;3;152;2;0;21;2;251;6
258;Borduas;2018-10-01;G;Sainte-Madeleine, vl;1;;153;341;40;5;27;4;117;3;1;11;0;208;3
258;Borduas;2018-10-01;G;Sainte-Madeleine, vl;1;;154;352;25;1;46;6;134;2;0;24;1;239;6
258;Borduas;2018-10-01;G;Sainte-Madeleine, vl;1;;155;342;35;0;38;3;138;1;1;19;3;238;1
258;Borduas;2018-10-01;G;Beloeil, v;2;Regr. BVO-17;500;60;0;0;0;0;0;0;0;0;0;0;0
258;Borduas;2018-10-01;G;Beloeil, v;3;Regr. BVO-26;501;34;0;0;0;0;0;0;0;0;0;0;0
258;Borduas;2018-10-01;G;Beloeil, v;6;Regr. BVO-44;502;34;0;0;0;0;0;0;0;0;0;0;0
258;Borduas;2018-10-01;G;Beloeil, v;6;Regr. BVO-52A;503;49;0;0;0;0;0;0;0;0;0;0;0
258;Borduas;2018-10-01;G;McMasterville, m;1;Regr. BVO-63;504;306;0;0;0;0;0;0;0;0;0;0;0
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;1;Regr. BVO-97;505;28;0;0;0;0;0;0;0;0;0;0;0
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;2;Regr. BVO-98;506;248;0;0;0;0;0;0;0;0;0;0;0
258;Borduas;2018-10-01;G;Mont-Saint-Hilaire, v;2;Regr. BVO-103;507;237;0;0;0;0;0;0;0;0;0;0;0
258;Borduas;2018-10-01;G;BVA1: SV no 1 à 6;;;;0;14;0;53;2;131;2;1;17;1;221;2
258;Borduas;2018-10-01;G;BVA2: SV no 137 à 145;;;;0;21;0;39;2;73;2;0;20;0;157;3
258;Borduas;2018-10-01;G;BVA3: SV no 53 à 60;;;;0;29;0;52;4;163;3;2;23;2;278;3
258;Borduas;2018-10-01;G;BVA4: SV no 7 à 10, 61 à 63;;;;0;39;0;58;5;151;0;0;36;0;289;1
258;Borduas;2018-10-01;G;BVA5: SV no 11 à 18;;;;0;36;0;79;3;126;2;1;44;0;291;6
258;Borduas;2018-10-01;G;BVA6: SV no 19 à 25;;;;0;26;1;81;5;186;2;2;70;3;376;2
258;Borduas;2018-10-01;G;BVA7: SV no 26 à 31;;;;0;36;0;48;2;138;0;2;41;1;268;0
258;Borduas;2018-10-01;G;BVA8: SV no 32 à 38;;;;0;33;0;84;3;191;1;2;37;1;352;3
258;Borduas;2018-10-01;G;BVA9: SV no 39 à 45;;;;0;36;0;55;6;152;1;0;30;1;281;1
258;Borduas;2018-10-01;G;BVA10: SV no 46 à 52;;;;0;25;0;66;3;161;2;0;34;0;291;1
258;Borduas;2018-10-01;G;BVA11: SV no 64 à 69;;;;0;30;2;54;1;103;1;2;34;0;227;5
258;Borduas;2018-10-01;G;BVA12: SV no 70 à 74;;;;0;31;0;31;2;79;2;0;29;0;174;2
258;Borduas;2018-10-01;G;BVA13: SV no 75 à 80;;;;0;35;0;72;2;97;0;1;45;0;252;2
258;Borduas;2018-10-01;G;BVA14: SV no 81 à 88;;;;0;39;0;72;8;253;0;0;54;0;426;5
258;Borduas;2018-10-01;G;BVA15: SV no 89 à 96;;;;0;55;0;105;9;222;2;4;60;0;457;4
258;Borduas;2018-10-01;G;BVA16: SV no 97 à 104;;;;0;65;2;104;4;248;2;2;77;2;506;9
258;Borduas;2018-10-01;G;BVA17: SV no 105 à 111;;;;0;44;1;88;11;164;2;2;57;0;369;2
258;Borduas;2018-10-01;G;BVA18: SV no 112 à 119;;;;0;39;0;83;7;143;0;0;79;1;352;0
