Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cloutier Line C.A.Q.-É.F.L.;Leblanc Alexandre P.C.Q./C.P.Q.;Méthot Laurence P.L.Q./Q.L.P.;Richard Lorraine P.Q.;Roux Martine Q.S.;B.V.;B.R.;
902;Duplessis;2018-10-01;G;Port-Cartier, v;2;;103;361;51;7;23;38;18;137;1;
902;Duplessis;2018-10-01;G;Port-Cartier, v;2;;104;374;43;2;13;45;16;119;7;
902;Duplessis;2018-10-01;G;Port-Cartier, v;2;;105;366;53;2;20;41;16;132;3;
902;Duplessis;2018-10-01;G;Port-Cartier, v;2;;106;362;42;3;28;51;11;135;2;
902;Duplessis;2018-10-01;G;Port-Cartier, v;3;;107;365;71;0;30;59;22;182;0;
902;Duplessis;2018-10-01;G;Port-Cartier, v;3;;108;356;49;2;24;55;18;148;5;
902;Duplessis;2018-10-01;G;Port-Cartier, v;3;;109;353;71;2;14;56;33;176;4;
902;Duplessis;2018-10-01;G;Port-Cartier, v;3;;110;333;44;0;26;34;12;116;0;
902;Duplessis;2018-10-01;G;Port-Cartier, v;4;;111;199;19;0;13;40;18;90;1;
902;Duplessis;2018-10-01;G;Port-Cartier, v;4;;112;206;26;2;29;29;8;94;0;
902;Duplessis;2018-10-01;G;Lac-Walker, no;1;;113;80;12;1;4;23;5;45;0;
902;Duplessis;2018-10-01;G;Rivière-Mouchalagane, no;1;Regr. BVO-113;114;2;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;Fermont, v;1;;115;349;53;5;23;37;20;138;3;
902;Duplessis;2018-10-01;G;Fermont, v;1;;116;363;67;3;11;49;14;144;3;
902;Duplessis;2018-10-01;G;Fermont, v;1;;117;339;72;5;5;66;18;166;6;
902;Duplessis;2018-10-01;G;Fermont, v;1;;118;291;25;2;12;35;13;87;5;
902;Duplessis;2018-10-01;G;Fermont, v;1;;119;358;73;3;14;67;9;166;4;
902;Duplessis;2018-10-01;G;Schefferville, v;1;;120;154;11;0;7;8;10;36;4;
902;Duplessis;2018-10-01;G;Matimekosh, r;1;;121;368;1;0;32;1;3;37;1;
902;Duplessis;2018-10-01;G;Lac-John, r;1;Regr. BVO-121;122;19;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;Kawawachikamach, tk;1;;123;429;1;2;41;1;7;52;1;
902;Duplessis;2018-10-01;G;Sept-Îles, v;7;Regr. BVO-65;500;50;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;Sept-Îles, v;7;Regr. BVO-74;501;149;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;Havre-Saint-Pierre, m;1;Regr. BVO-25;502;35;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;BVA1: SV no 40 à 41, 49 à 53;;;;0;73;2;21;50;19;165;7;
902;Duplessis;2018-10-01;G;BVA2: SV no 43 à 48;;;;0;41;2;16;42;10;111;2;
902;Duplessis;2018-10-01;G;BVA3: SV no 59 à 64;;;;0;77;3;39;61;22;202;2;
902;Duplessis;2018-10-01;G;BVA4: SV no 55 à 58, 65 à 67;;;;0;82;2;56;82;25;247;4;
902;Duplessis;2018-10-01;G;BVA5: SV no 68 à 75;;;;0;85;2;51;61;25;224;2;
902;Duplessis;2018-10-01;G;BVA6: SV no 76 à 82;;;;0;107;2;77;102;39;327;2;
902;Duplessis;2018-10-01;G;BVA7: SV no 83 à 89;;;;0;82;4;42;63;29;220;3;
902;Duplessis;2018-10-01;G;BVA8: SV no 36 à 37, 90 à 94, 113 à 114;;;;0;25;2;15;31;9;82;0;
902;Duplessis;2018-10-01;G;BVA9: SV no 98 à 104;;;;0;110;2;71;103;16;302;1;
902;Duplessis;2018-10-01;G;BVA10: SV no 105 à 112;;;;0;74;2;47;67;11;201;1;
902;Duplessis;2018-10-01;G;BVA11: SV no 115 à 119;;;;0;45;2;12;23;16;98;2;
902;Duplessis;2018-10-01;G;BVA12: SV no 24 à 31;;;;0;99;4;53;231;22;409;7;
902;Duplessis;2018-10-01;G;BVA13: SV no 38 à 39, 42, 54, 95 à 97;;;;0;38;3;25;16;10;92;0;
902;Duplessis;2018-10-01;G;BVA14: SV no 1 à 23, 32 à 35, 120 à 123;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;Vote en installation d'hébergement;;;;0;34;1;34;53;7;129;0;
902;Duplessis;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;6;0;1;12;0;19;0;
902;Duplessis;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;696;24;420;747;291;2178;35;
902;Duplessis;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;Vote itinérant en région éloignée;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;Vote hors circonscription;;;;0;62;4;49;82;150;347;5;
902;Duplessis;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;6;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;15;0;0;0;0;0;0;0;
902;Duplessis;2018-10-01;G;Total de la circonscription;;;;37349;6896;344;3668;7023;2534;20465;378;
902;Duplessis;2018-10-01;G;Majorité en faveur de Lorraine Richard : 127
