Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Line P.N.;Bienvenue Marie Francine Q.S.;Fortin Marie-Annick P.Q.;Pelletier François P.C.Q./C.P.Q.;Simard Serge P.L.Q./Q.L.P.;Tremblay François C.A.Q.-É.F.L.;B.V.;B.R.;
914;Dubuc;2018-10-01;G;BVA10: SV no 20 à 24, 62;;;;0;2;18;73;6;51;77;227;7;
914;Dubuc;2018-10-01;G;BVA11: SV no 98 à 102, 108 à 109;;;;0;1;11;47;5;60;78;202;1;
914;Dubuc;2018-10-01;G;BVA12: SV no 103 à 107;;;;0;0;20;49;6;42;66;183;2;
914;Dubuc;2018-10-01;G;BVA13: SV no 1 à 7;;;;0;4;28;76;8;49;110;275;3;
914;Dubuc;2018-10-01;G;BVA14: SV no 81 à 83, 85, 87;;;;0;1;10;36;5;29;65;146;2;
914;Dubuc;2018-10-01;G;BVA15: SV no 84, 86, 88, 90 à 91;;;;0;1;10;33;1;33;60;138;4;
914;Dubuc;2018-10-01;G;BVA16: SV no 8 à 12, 74, 80;;;;0;0;11;34;2;27;44;118;1;
914;Dubuc;2018-10-01;G;BVA17: SV no 75 à 79;;;;0;0;27;72;0;39;90;228;2;
914;Dubuc;2018-10-01;G;BVA18: SV no 89, 92 à 97;;;;0;0;8;35;3;30;76;152;1;
914;Dubuc;2018-10-01;G;Vote en installation d'hébergement;;;;0;2;4;21;2;81;45;155;2;
914;Dubuc;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;0;0;3;2;14;5;24;0;
914;Dubuc;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;22;130;257;30;336;497;1272;19;
914;Dubuc;2018-10-01;G;Vote hors circonscription;;;;0;2;116;63;4;25;74;284;14;
914;Dubuc;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;7;0;0;0;0;0;0;0;0;
914;Dubuc;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0;
914;Dubuc;2018-10-01;G;Total de la circonscription;;;;40506;445;3163;5541;645;5859;10535;26188;485;
914;Dubuc;2018-10-01;G;Majorité en faveur de François Tremblay : 4676
