Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arel Jacinthe-Eve C.A.Q.-É.F.L.;Audet Marc André N.P.D.Q.;Huet-Côté Sabrina P.V.Q./G.P.Q.;Lefrançois Claude Q.S.;Lessard Annie P.Q.;Ménard Nicole P.L.Q./Q.L.P.;Therrien Linda P.C.Q./C.P.Q.;B.V.;B.R.;
244;Laporte;2018-10-01;G;BVA22: SV no 137 à 142;;;;0;58;0;2;9;21;5;78;173;2;
244;Laporte;2018-10-01;G;Vote en installation d'hébergement;;;;0;100;7;7;39;61;252;4;470;18;
244;Laporte;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;20;2;0;6;13;59;0;100;2;
244;Laporte;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;734;23;37;352;296;795;23;2260;30;
244;Laporte;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
244;Laporte;2018-10-01;G;Vote hors circonscription;;;;0;54;16;22;234;45;108;3;482;13;
244;Laporte;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;38;0;0;0;0;0;0;0;0;0;
244;Laporte;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;15;0;0;0;0;0;0;0;0;0;
244;Laporte;2018-10-01;G;Total de la circonscription;;;;53823;10035;480;980;6007;4647;12514;475;35138;540;
244;Laporte;2018-10-01;G;Majorité en faveur de Nicole Ménard : 2479
