Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cedent Shirley C.I.N.Q.;Chénier Pierre P.M.L.Q.;de Grandpré-Ruel Myriam N.P.D.Q.;Fournier Catherine P.Q.;Lévesque Carl Q.S.;Poiré-Hill Laeticia P.V.Q./G.P.Q.;Portron Florent É.A.;Prévost Martyne C.A.Q.-É.F.L.;Ziadé Sonia P.L.Q./Q.L.P.;B.V.;B.R.;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;32;;105;381;2;0;2;46;42;5;2;44;31;174;2;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;32;;106;396;0;2;2;62;31;3;0;66;43;209;1;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;32;;107;366;1;0;4;46;29;5;0;59;17;161;2;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;32;;108;364;0;1;1;48;27;2;0;47;30;156;1;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;33;;109;372;0;0;1;53;32;7;0;53;21;167;5;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;33;;110;375;0;0;1;65;33;0;0;49;8;156;2;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;33;;111;382;1;0;1;66;37;6;1;35;22;169;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;33;;112;370;2;0;1;33;28;1;0;28;34;127;9;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;33;;113;362;1;0;2;42;22;8;1;45;33;154;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;33;;114;379;0;0;2;49;42;2;0;59;36;190;5;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;33;;115;354;1;0;0;38;31;7;1;32;31;141;6;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;33;;116;390;1;0;0;30;37;7;0;32;27;134;7;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;33;;117;386;2;0;3;40;33;3;0;70;33;184;6;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;33;;118;385;0;0;0;36;51;6;0;51;28;172;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;33;;119;373;0;0;0;50;21;0;0;68;31;170;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;34;;120;348;0;0;2;41;38;5;0;54;29;169;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;34;;121;371;0;0;3;62;35;0;0;47;38;185;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;34;;122;363;2;0;3;66;38;7;2;65;26;209;3;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;34;;123;384;1;0;3;67;35;5;0;71;37;219;4;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;34;;124;381;0;0;4;74;32;4;0;69;26;209;8;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;34;;125A;247;0;0;0;32;14;2;0;23;19;90;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;34;;125B;233;1;0;2;31;12;1;0;52;23;122;1;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;16;Regr. BVO-1;500;110;0;0;0;0;0;0;0;0;0;0;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;16;Regr. BVO-3;501;26;0;0;0;0;0;0;0;0;0;0;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;18;Regr. BVO-17;502;88;0;0;0;0;0;0;0;0;0;0;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;19;Regr. BVO-22;503;65;0;0;0;0;0;0;0;0;0;0;0;
246;Marie-Victorin;2018-10-01;G;Longueuil, v;34;Regr. BVO-125B;504;252;0;0;0;0;0;0;0;0;0;0;0;
246;Marie-Victorin;2018-10-01;G;BVA1: SV no 1 à 8;;;;0;1;0;2;61;68;5;0;66;38;241;2;
246;Marie-Victorin;2018-10-01;G;BVA2: SV no 10 à 17;;;;0;0;2;10;121;52;5;1;135;86;412;10;
246;Marie-Victorin;2018-10-01;G;BVA3: SV no 18 à 25;;;;0;0;1;4;283;135;10;1;154;90;678;11;
246;Marie-Victorin;2018-10-01;G;BVA4: SV no 26 à 33;;;;0;0;0;1;136;69;2;0;91;33;332;1;
246;Marie-Victorin;2018-10-01;G;BVA5: SV no 9, 34 à 40;;;;0;0;0;6;168;102;4;0;84;52;416;5;
246;Marie-Victorin;2018-10-01;G;BVA6: SV no 41 à 48;;;;0;1;0;2;133;78;4;0;85;15;318;2;
246;Marie-Victorin;2018-10-01;G;BVA7: SV no 49 à 55;;;;0;0;1;1;82;34;4;0;88;27;237;4;
246;Marie-Victorin;2018-10-01;G;BVA8: SV no 56 à 62;;;;0;0;1;4;100;58;1;1;89;30;284;7;
246;Marie-Victorin;2018-10-01;G;BVA9: SV no 63 à 68;;;;0;1;3;7;94;53;4;3;58;38;261;1;
246;Marie-Victorin;2018-10-01;G;BVA10: SV no 69 à 75;;;;0;2;0;1;80;39;2;0;61;24;209;5;
246;Marie-Victorin;2018-10-01;G;BVA11: SV no 76 à 82;;;;0;0;0;2;28;16;0;0;50;10;106;4;
246;Marie-Victorin;2018-10-01;G;BVA12: SV no 83 à 89;;;;0;0;0;2;53;30;1;0;45;17;148;2;
246;Marie-Victorin;2018-10-01;G;BVA13: SV no 90 à 94, 99 à 100;;;;0;1;0;0;52;28;0;0;40;21;142;6;
246;Marie-Victorin;2018-10-01;G;BVA14: SV no 95 à 98, 101 à 103;;;;0;0;1;1;68;31;4;0;82;27;214;0;
246;Marie-Victorin;2018-10-01;G;BVA15: SV no 104 à 111;;;;0;0;2;3;99;49;3;0;72;33;261;4;
246;Marie-Victorin;2018-10-01;G;BVA16: SV no 112 à 117, 119;;;;0;2;0;1;98;40;4;0;114;38;297;4;
246;Marie-Victorin;2018-10-01;G;BVA17: SV no 118, 120 à 125;;;;0;0;0;5;129;51;1;0;135;57;378;9;
246;Marie-Victorin;2018-10-01;G;Vote en installation d'hébergement;;;;0;3;4;6;106;16;2;2;97;79;315;17;
246;Marie-Victorin;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;0;0;2;47;7;1;0;42;5;104;0;
246;Marie-Victorin;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;7;4;22;822;598;42;6;866;494;2861;45;
246;Marie-Victorin;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;0;
246;Marie-Victorin;2018-10-01;G;Vote hors circonscription;;;;0;0;1;5;80;165;14;0;52;52;369;11;
246;Marie-Victorin;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;17;0;0;0;0;0;0;0;0;0;0;0;
246;Marie-Victorin;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;18;0;0;0;0;0;0;0;0;0;0;0;
246;Marie-Victorin;2018-10-01;G;Total de la circonscription;;;;47044;98;60;310;8952;6295;625;45;8247;4418;29050;546;
246;Marie-Victorin;2018-10-01;G;Majorité en faveur de Catherine Fournier : 705
