Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dorval Fernand Q.S.;Goulet Nicole C.P.Q.;Perron Daniel P.Q.;Provençal Luc C.A.Q.-É.F.L.;Taschereau Myriam P.L.Q./Q.L.P.;Villeneuve Isabelle P.C.Q./C.P.Q.;B.V.;B.R.
806;Beauce-Nord;2018-10-01;G;Saint-Isidore, m;1;;100;403;15;6;5;175;49;17;267;4
806;Beauce-Nord;2018-10-01;G;Saint-Isidore, m;1;;101;389;24;9;15;146;42;17;253;5
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;102;361;15;4;12;115;33;12;191;8
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;103;372;19;0;24;140;17;8;208;4
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;104;376;23;4;17;117;27;21;209;6
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;105;397;24;4;12;116;35;13;204;4
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;106;387;17;2;9;113;39;9;189;6
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;107;381;21;1;6;134;46;13;221;6
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;108;376;17;2;16;146;34;20;235;4
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;109;378;22;0;14;110;28;18;192;6
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;110;372;17;3;7;112;30;14;183;10
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;111;363;23;1;8;129;33;9;203;0
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;112;370;25;3;9;122;12;23;194;3
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;113;371;22;6;16;110;23;12;189;3
806;Beauce-Nord;2018-10-01;G;Saint-Lambert-de-Lauzon, m;1;;114;370;26;4;10;108;29;16;193;6
806;Beauce-Nord;2018-10-01;G;Saint-Victor, m;1;Regr. BVO-2;500;76;0;0;0;0;0;0;0;0
806;Beauce-Nord;2018-10-01;G;Beauceville, v;2;Regr. BVO-16;501;56;0;0;0;0;0;0;0;0
806;Beauce-Nord;2018-10-01;G;Beauceville, v;2;Regr. BVO-15;502;82;0;0;0;0;0;0;0;0
806;Beauce-Nord;2018-10-01;G;Saint-Joseph-de-Beauce, v;1;Regr. BVO-23;503;36;0;0;0;0;0;0;0;0
806;Beauce-Nord;2018-10-01;G;Saint-Joseph-de-Beauce, v;1;Regr. BVO-27;504;84;0;0;0;0;0;0;0;0
806;Beauce-Nord;2018-10-01;G;Sainte-Marie, v;2;Regr. BVO-66;505;23;0;0;0;0;0;0;0;0
806;Beauce-Nord;2018-10-01;G;Sainte-Marie, v;2;Regr. BVO-70;506;299;0;0;0;0;0;0;0;0
806;Beauce-Nord;2018-10-01;G;BVA1: SV no 1 à 6;;;;0;6;1;9;71;12;4;103;2
806;Beauce-Nord;2018-10-01;G;BVA2: SV no 7 à 10;;;;0;10;7;15;256;43;8;339;6
806;Beauce-Nord;2018-10-01;G;BVA3: SV no 11 à 14;;;;0;13;0;5;231;30;3;282;3
806;Beauce-Nord;2018-10-01;G;BVA4: SV no 15 à 18;;;;0;13;0;6;220;33;4;276;6
806;Beauce-Nord;2018-10-01;G;BVA5: SV no 19 à 21, 31 à 32;;;;0;5;2;0;55;17;2;81;0
806;Beauce-Nord;2018-10-01;G;BVA6: SV no 22 à 26;;;;0;8;4;13;229;47;10;311;6
806;Beauce-Nord;2018-10-01;G;BVA7: SV no 27 à 30;;;;0;14;1;14;216;28;7;280;6
806;Beauce-Nord;2018-10-01;G;BVA8: SV no 33 à 35, 39 à 42;;;;0;10;0;7;137;46;10;210;0
806;Beauce-Nord;2018-10-01;G;BVA9: SV no 36 à 38, 43 à 48;;;;0;9;2;14;95;25;9;154;1
806;Beauce-Nord;2018-10-01;G;BVA10: SV no 49 à 51, 83 à 87;;;;0;6;0;7;30;9;9;61;2
806;Beauce-Nord;2018-10-01;G;BVA11: SV no 88 à 95;;;;0;11;2;8;86;17;4;128;2
806;Beauce-Nord;2018-10-01;G;BVA12: SV no 52 à 56;;;;0;15;0;14;112;44;4;189;5
806;Beauce-Nord;2018-10-01;G;BVA13: SV no 57 à 62;;;;0;14;1;13;194;59;9;290;4
806;Beauce-Nord;2018-10-01;G;BVA14: SV no 63 à 68;;;;0;18;0;13;143;84;16;274;9
806;Beauce-Nord;2018-10-01;G;BVA15: SV no 69 à 74;;;;0;10;0;15;161;54;10;250;5
806;Beauce-Nord;2018-10-01;G;BVA16: SV no 75 à 82;;;;0;9;1;15;134;57;8;224;2
806;Beauce-Nord;2018-10-01;G;BVA17: SV no 96 à 103;;;;0;17;3;18;112;37;11;198;2
806;Beauce-Nord;2018-10-01;G;BVA18: SV no 104 à 108;;;;0;17;6;13;147;39;10;232;6
806;Beauce-Nord;2018-10-01;G;BVA19: SV no 109 à 114;;;;0;25;2;30;208;56;17;338;3
806;Beauce-Nord;2018-10-01;G;Vote en installation d'hébergement;;;;0;11;11;20;212;154;7;415;5
806;Beauce-Nord;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;7;7;12;53;70;6;155;6
806;Beauce-Nord;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;88;10;80;711;266;42;1197;13
806;Beauce-Nord;2018-10-01;G;Vote hors circonscription;;;;0;84;0;14;100;24;4;226;13
806;Beauce-Nord;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0
806;Beauce-Nord;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0
806;Beauce-Nord;2018-10-01;G;Total de la circonscription;;;;43398;2131;334;1546;20039;4729;1414;30193;530
806;Beauce-Nord;2018-10-01;G;Majorité en faveur de Luc Provençal : 15310;;;;;;;;;;;;
