Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bigras-Denis Bernard P.L.Q./Q.L.P.;Boyer Stéphanie P.L.;Côté Patrick P.Q.;Edwards Sherwin P.C.Q./C.P.Q.;Grondin Agnès C.A.Q.-É.F.L.;Lachapelle Céline Q.S.;St-Denis Yves Ind;Thériault Carole P.V.Q./G.P.Q.;Wiseman Louise C.P.Q.;B.V.;B.R.
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;1;;107;387;20;2;37;2;104;38;1;3;2;209;0
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;1;;108;392;13;4;48;3;126;30;3;2;1;230;4
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;1;;109;392;14;2;50;5;76;37;3;3;0;190;3
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;1;;110;396;6;0;43;0;110;42;10;4;2;217;0
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;1;;111;401;12;0;43;3;110;30;3;4;3;208;0
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;1;;112;399;14;0;62;4;99;37;1;2;0;219;0
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;1;;113;397;5;3;55;3;86;32;5;1;3;193;0
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;1;;114;402;12;1;72;2;89;27;0;2;0;205;0
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;115;381;16;0;52;1;103;39;1;4;1;217;0
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;116;391;11;2;56;4;84;48;7;7;3;222;5
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;117;390;21;2;56;1;90;37;0;2;1;210;5
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;118;382;20;1;54;2;123;36;5;4;1;246;1
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;119;364;12;1;47;3;85;20;2;3;0;173;2
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;120;373;13;2;55;6;98;27;1;2;1;205;7
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;121;380;12;2;53;6;96;33;4;5;0;211;3
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;122;381;14;0;48;2;88;27;1;6;2;188;0
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;123;373;8;3;45;6;109;29;4;5;0;209;2
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;124;379;13;1;59;3;95;35;3;4;0;213;6
520;Argenteuil;2018-10-01;G;Saint-Colomban, v;2;;125;376;12;2;46;2;87;46;6;2;0;203;4
