Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brosseau Francis P.C.Q./C.P.Q.;Dagenais Gabriel Q.S.;Fournier René P.V.Q./G.P.Q.;Jeannotte Chantale C.A.Q.-É.F.L.;Ostigny Régis C.P.Q.;Pagé Sylvain P.Q.;Riopel Nadine P.L.Q./Q.L.P.;B.V.;B.R.;
594;Labelle;2018-10-01;G;BVA22: SV no 125 à 129;;;;0;0;22;5;72;4;96;33;232;1;
594;Labelle;2018-10-01;G;BVA23: SV no 91 à 94;;;;0;2;24;1;65;0;72;13;177;2;
594;Labelle;2018-10-01;G;BVA24: SV no 7 à 8;;;;0;0;19;0;66;1;55;19;160;1;
594;Labelle;2018-10-01;G;Vote en installation d'hébergement;;;;0;9;12;4;112;1;131;79;348;13;
594;Labelle;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;7;10;3;48;2;75;47;192;7;
594;Labelle;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;26;403;22;1162;10;1112;408;3143;50;
594;Labelle;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
594;Labelle;2018-10-01;G;Vote hors circonscription;;;;0;4;155;7;55;3;92;52;368;5;
594;Labelle;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;16;0;0;0;0;0;0;0;0;0;
594;Labelle;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;79;0;0;0;0;0;0;0;0;0;
594;Labelle;2018-10-01;G;Total de la circonscription;;;;48741;265;4954;395;11784;181;11185;3524;32288;465;
594;Labelle;2018-10-01;G;Majorité en faveur de Chantale Jeannotte : 599
