Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Guindon Gilles C.I.N.Q.;Jannard Camille B. P.V.Q./G.P.Q.;Létourneau Gilles N.P.D.Q.;L'Heureux Guy P.C.Q./C.P.Q.;Picard Christian P.Q.;Roberge Jean-François C.A.Q.-É.F.L.;Vachon Benjamin B.P.;Vigeant Francis Q.S.;Villeneuve François P.L.Q./Q.L.P.;B.V.;B.R.
238;Chambly;2018-10-01;G;Chambly, v;6;;107;390;0;4;2;1;30;99;0;40;13;189;3
238;Chambly;2018-10-01;G;Chambly, v;6;;108;371;0;5;1;0;27;82;0;42;21;178;2
238;Chambly;2018-10-01;G;Chambly, v;6;;109;384;0;3;3;3;29;114;0;48;20;220;2
238;Chambly;2018-10-01;G;Saint-Mathias-sur-Richelieu, m;1;;110;403;0;5;1;1;44;121;1;52;19;244;3
238;Chambly;2018-10-01;G;Saint-Mathias-sur-Richelieu, m;1;;111;395;0;3;1;2;46;158;1;45;13;269;2
238;Chambly;2018-10-01;G;Saint-Mathias-sur-Richelieu, m;1;;112;394;0;6;2;0;42;136;1;38;21;246;2
238;Chambly;2018-10-01;G;Saint-Mathias-sur-Richelieu, m;1;;113;403;0;7;0;4;50;104;3;55;10;233;1
238;Chambly;2018-10-01;G;Saint-Mathias-sur-Richelieu, m;1;;114;394;2;6;3;2;38;116;3;45;17;232;5
238;Chambly;2018-10-01;G;Saint-Mathias-sur-Richelieu, m;1;;115;392;0;4;2;2;30;132;1;46;23;240;3
238;Chambly;2018-10-01;G;Saint-Mathias-sur-Richelieu, m;1;;116;410;0;7;0;1;46;110;4;42;29;239;4
238;Chambly;2018-10-01;G;Saint-Mathias-sur-Richelieu, m;1;;117;382;0;1;1;3;31;132;1;30;14;213;3
238;Chambly;2018-10-01;G;Saint-Mathias-sur-Richelieu, m;1;;118;403;0;2;0;1;35;98;1;29;27;193;5
238;Chambly;2018-10-01;G;Richelieu, v;1;;119;380;0;3;0;0;17;59;2;23;27;131;4
