Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dubé Hélène Q.S.;Evanko Richard P.C.Q./C.P.Q.;Lacasse Michel C.P.Q.;Marceau Nicolas P.Q.;Thouin Louis-Charles C.A.Q.-É.F.L.;Watson Patrick P.L.Q./Q.L.P.;B.V.;B.R.;
576;Rousseau;2018-10-01;G;BVA4: SV no 80 à 84;;;;0;32;1;1;86;132;14;266;0;
576;Rousseau;2018-10-01;G;BVA5: SV no 74 à 79;;;;0;15;2;2;79;139;16;253;2;
576;Rousseau;2018-10-01;G;BVA6: SV no 85 à 88;;;;0;19;1;8;69;109;17;223;4;
576;Rousseau;2018-10-01;G;BVA7: SV no 34 à 39;;;;0;20;4;1;72;152;14;263;4;
576;Rousseau;2018-10-01;G;BVA8: SV no 40 à 45;;;;0;22;1;1;64;241;24;353;5;
576;Rousseau;2018-10-01;G;BVA9: SV no 46 à 51;;;;0;25;3;2;63;219;29;341;2;
576;Rousseau;2018-10-01;G;BVA10: SV no 52 à 57;;;;0;16;1;1;50;121;9;198;3;
576;Rousseau;2018-10-01;G;BVA11: SV no 58 à 63;;;;0;15;0;3;43;99;11;171;4;
576;Rousseau;2018-10-01;G;BVA12: SV no 64 à 68;;;;0;14;0;1;46;105;15;181;1;
576;Rousseau;2018-10-01;G;BVA13: SV no 69 à 73;;;;0;12;3;0;50;78;5;148;3;
576;Rousseau;2018-10-01;G;BVA14: SV no 21 à 26;;;;0;38;6;6;138;252;15;455;8;
576;Rousseau;2018-10-01;G;BVA15: SV no 27 à 33;;;;0;38;6;7;112;256;16;435;3;
576;Rousseau;2018-10-01;G;BVA16: SV no 1 à 6;;;;0;52;0;1;130;210;24;417;12;
576;Rousseau;2018-10-01;G;BVA17: SV no 7 à 13;;;;0;37;1;4;129;303;32;506;3;
576;Rousseau;2018-10-01;G;BVA18: SV no 14 à 20;;;;0;33;6;9;126;253;22;449;9;
576;Rousseau;2018-10-01;G;Vote en installation d'hébergement;;;;0;5;1;1;23;47;20;97;4;
576;Rousseau;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;6;1;2;7;19;10;45;0;
576;Rousseau;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;118;6;11;278;603;51;1067;10;
576;Rousseau;2018-10-01;G;Vote hors circonscription;;;;0;106;1;2;67;63;11;250;12;
576;Rousseau;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;7;0;0;0;0;0;0;0;0;
576;Rousseau;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;8;0;0;0;0;0;0;0;0;
576;Rousseau;2018-10-01;G;Total de la circonscription;;;;41944;3531;271;323;7160;14464;1419;27168;580;
576;Rousseau;2018-10-01;G;Majorité en faveur de Louis-Charles Thouin : 7304
