Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Daniel C.P.Q.;Cyr Wright Catherine Q.S.;Desaulniers Hélène C.A.Q.-É.F.L.;Gallant Guy Ind;Imhoff Heather P.V.Q./G.P.Q.;Roy Sylvain P.Q.;Whittom François P.L.Q./Q.L.P.;B.V.;B.R.
850;Bonaventure;2018-10-01;G;BVA11: SV no 70 à 75;;;;0;1;43;69;2;1;252;115;483;4
850;Bonaventure;2018-10-01;G;BVA12: SV no 76 à 80;;;;0;0;24;32;2;2;79;78;217;1
850;Bonaventure;2018-10-01;G;BVA13: SV no 81 à 83;;;;0;0;7;11;2;2;28;73;123;0
850;Bonaventure;2018-10-01;G;BVA14: SV no 84 à 88;;;;0;0;19;39;1;0;134;48;241;0
850;Bonaventure;2018-10-01;G;BVA15: SV no 89 à 94;;;;0;2;15;33;1;0;101;83;235;3
850;Bonaventure;2018-10-01;G;BVA16: SV no 95 à 100;;;;0;3;17;60;3;1;180;211;475;8
850;Bonaventure;2018-10-01;G;BVA17: SV no 101 à 105;;;;0;0;12;48;0;0;111;109;280;6
850;Bonaventure;2018-10-01;G;Vote en installation d'hébergement;;;;0;3;6;19;4;0;37;100;169;9
850;Bonaventure;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;3;4;20;3;1;26;72;129;4
850;Bonaventure;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;13;153;165;11;18;463;359;1182;4
850;Bonaventure;2018-10-01;G;Vote hors circonscription;;;;0;0;201;42;4;8;88;46;389;8
850;Bonaventure;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;11;0;0;0;0;0;0;0;0;0
850;Bonaventure;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;20;0;0;0;0;0;0;0;0;0
850;Bonaventure;2018-10-01;G;Total de la circonscription;;;;35530;209;3282;3502;575;312;8416;5586;21882;242
850;Bonaventure;2018-10-01;G;Majorité en faveur de Sylvain Roy : 2830;;;;;;;;;;;;;
