Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belec Mario P.C.Q./C.P.Q.;Bernard Milan Q.S.;Boychuk Jasper P.V.Q./G.P.Q.;Bussière Robert C.A.Q.-É.F.L.;Carreiro-Benoit Jonathan P.Q.;Deschênes Alexandre P.M.L.Q.;Farrell Luce P.L.Q./Q.L.P.;B.V.;B.R.
614;Gatineau;2018-10-01;G;Val-des-Monts, m;1;;105;399;3;19;6;33;18;1;51;131;2
614;Gatineau;2018-10-01;G;Val-des-Monts, m;2;;106;401;3;20;5;91;20;0;52;191;4
614;Gatineau;2018-10-01;G;Val-des-Monts, m;2;;107;399;3;25;10;75;21;0;43;177;5
614;Gatineau;2018-10-01;G;Val-des-Monts, m;2;;108;388;6;34;9;67;22;0;36;174;2
614;Gatineau;2018-10-01;G;Val-des-Monts, m;2;;109;405;4;33;6;81;14;0;40;178;5
614;Gatineau;2018-10-01;G;Val-des-Monts, m;2;;110;398;7;31;3;96;24;1;47;209;0
614;Gatineau;2018-10-01;G;Val-des-Monts, m;2;;111;398;6;26;5;71;13;0;65;186;1
614;Gatineau;2018-10-01;G;Val-des-Monts, m;2;;112;381;10;12;4;33;10;0;84;153;2
614;Gatineau;2018-10-01;G;Denholm, m;1;;113;415;9;18;4;55;12;0;66;164;6
614;Gatineau;2018-10-01;G;Low, ct;1;;114;400;6;16;5;40;7;0;77;151;2
614;Gatineau;2018-10-01;G;Low, ct;1;;115;393;5;6;8;33;4;0;85;141;0
614;Gatineau;2018-10-01;G;Kazabazua, m;1;;116;362;9;11;3;51;10;0;77;161;3
614;Gatineau;2018-10-01;G;Kazabazua, m;1;;117;368;8;8;4;58;6;0;57;141;0
614;Gatineau;2018-10-01;G;Lac-Sainte-Marie, m;1;;118;223;3;4;3;53;5;0;49;117;0
614;Gatineau;2018-10-01;G;Lac-Sainte-Marie, m;1;;119;233;8;2;4;58;6;0;38;116;3
614;Gatineau;2018-10-01;G;Gracefield, v;1;;120;381;5;15;6;93;23;1;32;175;0
614;Gatineau;2018-10-01;G;Gracefield, v;1;;121;386;1;9;1;77;5;0;30;123;0
614;Gatineau;2018-10-01;G;Gracefield, v;1;;122;384;9;15;2;66;7;1;25;125;4
614;Gatineau;2018-10-01;G;Gracefield, v;1;;123;388;6;25;3;88;6;1;33;162;5
614;Gatineau;2018-10-01;G;Gracefield, v;1;;124;388;4;23;3;76;13;0;37;156;2
614;Gatineau;2018-10-01;G;Cayamant, m;1;;125;328;3;15;0;75;16;0;25;134;0
614;Gatineau;2018-10-01;G;Cayamant, m;1;;126;329;2;13;1;75;10;0;21;122;2
614;Gatineau;2018-10-01;G;Blue Sea, m;1;;127;255;1;21;0;74;13;0;45;154;4
614;Gatineau;2018-10-01;G;Blue Sea, m;1;;128;284;3;25;1;82;14;0;37;162;0
614;Gatineau;2018-10-01;G;Bouchette, m;1;;129;278;4;21;4;83;10;2;30;154;3
614;Gatineau;2018-10-01;G;Bouchette, m;1;;130;294;2;23;4;75;20;0;43;167;1
614;Gatineau;2018-10-01;G;Sainte-Thérèse-de-la-Gatineau, m;1;;131;213;2;10;0;55;5;1;35;108;1
614;Gatineau;2018-10-01;G;Sainte-Thérèse-de-la-Gatineau, m;1;;132;217;2;7;1;87;12;1;19;129;0
614;Gatineau;2018-10-01;G;Messines, m;1;;133;340;0;12;1;94;14;1;12;134;2
614;Gatineau;2018-10-01;G;Messines, m;1;;134;334;2;23;1;72;12;0;23;133;3
614;Gatineau;2018-10-01;G;Messines, m;1;;135;329;3;26;3;92;23;0;16;163;1
614;Gatineau;2018-10-01;G;Messines, m;1;;136;348;5;20;4;105;11;0;24;169;1
614;Gatineau;2018-10-01;G;Kitigan Zibi, r;1;;137;685;0;3;1;15;2;0;16;37;2
614;Gatineau;2018-10-01;G;Déléage, m;1;;138;388;1;12;3;83;20;3;36;158;0
614;Gatineau;2018-10-01;G;Déléage, m;1;;139;381;3;18;2;102;7;0;18;150;3
614;Gatineau;2018-10-01;G;Déléage, m;1;;140;388;6;13;1;113;16;0;33;182;1
614;Gatineau;2018-10-01;G;Déléage, m;1;;141;380;3;13;2;83;9;1;24;135;2
614;Gatineau;2018-10-01;G;Maniwaki, v;1;;142;376;1;13;3;59;14;0;15;105;0
614;Gatineau;2018-10-01;G;Maniwaki, v;1;;143;379;1;22;2;75;20;0;25;145;3
614;Gatineau;2018-10-01;G;Maniwaki, v;1;;144;369;1;16;3;60;10;2;23;115;4
614;Gatineau;2018-10-01;G;Maniwaki, v;1;;145;387;0;12;2;69;13;0;10;106;0
614;Gatineau;2018-10-01;G;Maniwaki, v;1;;146;384;3;11;1;58;10;0;17;100;2
614;Gatineau;2018-10-01;G;Maniwaki, v;1;;147;368;3;14;1;77;11;1;20;127;3
614;Gatineau;2018-10-01;G;Maniwaki, v;1;;148;375;0;17;2;56;4;1;21;101;6
614;Gatineau;2018-10-01;G;Maniwaki, v;1;;149;357;0;14;3;82;13;0;24;136;2
614;Gatineau;2018-10-01;G;Egan-Sud, m;1;;150;215;4;9;2;63;6;1;20;105;1
614;Gatineau;2018-10-01;G;Egan-Sud, m;1;;151;216;1;9;3;60;8;1;12;94;3
614;Gatineau;2018-10-01;G;Bois-Franc, m;1;;152;334;0;34;2;117;9;0;24;186;4
614;Gatineau;2018-10-01;G;Aumond, ct;1;;153;287;5;15;1;74;9;1;26;131;8
614;Gatineau;2018-10-01;G;Aumond, ct;1;;154;309;0;9;0;97;11;0;21;138;1
614;Gatineau;2018-10-01;G;Grand-Remous, m;1;;155;324;6;16;4;60;14;0;19;119;4
614;Gatineau;2018-10-01;G;Grand-Remous, m;1;;156;308;3;13;3;64;12;0;22;117;3
614;Gatineau;2018-10-01;G;Grand-Remous, m;1;;157;321;2;18;3;80;9;0;25;137;2
614;Gatineau;2018-10-01;G;Montcerf-Lytton, m;1;;158;273;4;11;2;73;15;0;20;125;2
614;Gatineau;2018-10-01;G;Montcerf-Lytton, m;1;;159;267;4;9;0;97;20;1;17;148;1
614;Gatineau;2018-10-01;G;Lac-Pythonga, no;1;Regr. BVO-161;160;2;0;0;0;0;0;0;0;0;0
614;Gatineau;2018-10-01;G;Lac-Rapide, r;1;Regr. BVDS-1;161;166;0;0;0;0;0;0;0;0;0
614;Gatineau;2018-10-01;G;La Pêche, m;6;Regr. BVO-16;500;33;0;0;0;0;0;0;0;0;0
614;Gatineau;2018-10-01;G;Gatineau, v;25;Regr. BVO-64;501;354;0;0;0;0;0;0;0;0;0
614;Gatineau;2018-10-01;G;Maniwaki, v;1;Regr. BVO-146;502;103;0;0;0;0;0;0;0;0;0
614;Gatineau;2018-10-01;G;Maniwaki, v;1;Regr. BVO-144;503;38;0;0;0;0;0;0;0;0;0
614;Gatineau;2018-10-01;G;BVA1: SV no 155 à 160;;;;0;3;10;1;92;11;1;48;166;2
614;Gatineau;2018-10-01;G;BVA2: SV no 131 à 138;;;;0;0;12;0;81;7;0;27;127;1
614;Gatineau;2018-10-01;G;BVA3: SV no 139 à 145;;;;0;4;16;1;125;21;0;60;227;2
614;Gatineau;2018-10-01;G;BVA4: SV no 146 à 154;;;;0;3;20;0;137;25;0;79;264;4
614;Gatineau;2018-10-01;G;BVA5: SV no 127 à 130;;;;0;2;8;2;25;1;0;11;49;0
614;Gatineau;2018-10-01;G;BVA6: SV no 120 à 122;;;;0;4;11;1;72;14;0;28;130;2
614;Gatineau;2018-10-01;G;BVA7: SV no 123 à 126;;;;0;1;8;2;98;19;1;55;184;1
614;Gatineau;2018-10-01;G;BVA8: SV no 113 à 119;;;;0;3;8;2;29;10;0;52;104;0
614;Gatineau;2018-10-01;G;BVA9: SV no 1 à 6;;;;0;2;15;0;171;16;2;39;245;1
614;Gatineau;2018-10-01;G;BVA10: SV no 7 à 12;;;;0;4;20;6;134;11;0;37;212;0
614;Gatineau;2018-10-01;G;BVA11: SV no 13 à 17;;;;0;1;1;1;11;2;0;19;35;0
614;Gatineau;2018-10-01;G;BVA12: SV no 90 à 95;;;;0;7;34;6;129;30;0;54;260;7
614;Gatineau;2018-10-01;G;BVA13: SV no 96 à 101;;;;0;4;17;3;93;17;0;41;175;3
614;Gatineau;2018-10-01;G;BVA14: SV no 102 à 107;;;;0;3;27;1;61;22;1;47;162;2
614;Gatineau;2018-10-01;G;BVA15: SV no 18 à 23;;;;0;3;15;7;108;20;0;65;218;1
614;Gatineau;2018-10-01;G;BVA16: SV no 24 à 30;;;;0;1;36;7;135;45;1;86;311;1
614;Gatineau;2018-10-01;G;BVA17: SV no 31 à 37;;;;0;9;33;18;135;49;0;94;338;2
614;Gatineau;2018-10-01;G;BVA18: SV no 38 à 43;;;;0;3;26;18;48;12;0;161;268;0
614;Gatineau;2018-10-01;G;BVA19: SV no 44 à 50;;;;0;7;39;14;80;25;1;156;322;4
614;Gatineau;2018-10-01;G;BVA20: SV no 51 à 56;;;;0;2;48;7;155;52;0;191;455;5
614;Gatineau;2018-10-01;G;BVA21: SV no 57 à 62;;;;0;4;27;6;124;34;0;114;309;0
614;Gatineau;2018-10-01;G;BVA22: SV no 63 à 68;;;;0;5;30;6;117;43;0;123;324;2
614;Gatineau;2018-10-01;G;BVA23: SV no 69 à 74;;;;0;1;34;6;90;41;0;133;305;5
614;Gatineau;2018-10-01;G;BVA24: SV no 75 à 80;;;;0;1;35;5;95;28;2;67;233;3
614;Gatineau;2018-10-01;G;BVA25: SV no 81 à 85;;;;0;6;27;7;135;23;1;80;279;3
614;Gatineau;2018-10-01;G;BVA26: SV no 86 à 89;;;;0;3;15;2;83;15;0;64;182;1
614;Gatineau;2018-10-01;G;BVA27: SV no 108 à 112;;;;0;0;6;1;24;6;0;19;56;0
614;Gatineau;2018-10-01;G;BVA28: SV no 161;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
614;Gatineau;2018-10-01;G;Vote en installation d'hébergement;;;;0;7;10;2;75;23;0;130;247;7
614;Gatineau;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;1;5;0;25;4;1;25;61;2
614;Gatineau;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;23;144;52;659;107;3;529;1517;14
614;Gatineau;2018-10-01;G;Vote itinérant en région éloignée;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
614;Gatineau;2018-10-01;G;Vote hors circonscription;;;;0;3;201;33;74;48;1;64;424;15
614;Gatineau;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;41;0;0;0;0;0;0;0;0;0
614;Gatineau;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;5;0;0;0;0;0;0;0;0;0
614;Gatineau;2018-10-01;G;Total de la circonscription;;;;59189;697;4517;1271;14586;3148;71;10654;34944;441
614;Gatineau;2018-10-01;G;Majorité en faveur de Robert Bussière : 3932;;;;;;;;;;;;;
