Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Andréanne N.P.D.Q.;Chiasson Albert C.P.Q.;Crossan Jessica Q.S.;Foster Émilie C.A.Q.-É.F.L.;Leclerc Nathalie P.Q.;Simard Caroline P.L.Q./Q.L.P.;B.V.;B.R.;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Laurent-de-l'Île-d'Orléans, m;1;;139;337;1;2;18;69;28;66;184;2;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Laurent-de-l'Île-d'Orléans, m;1;;140;309;1;1;23;85;29;38;177;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Laurent-de-l'Île-d'Orléans, m;1;;141;312;2;1;19;103;21;42;188;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Sainte-Pétronille, vl;1;;142;280;2;2;31;68;30;28;161;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Sainte-Pétronille, vl;1;;143;296;2;0;34;84;40;30;190;5;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Sainte-Pétronille, vl;1;;144;284;0;0;26;64;56;29;175;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;La Malbaie, v;2;Regr. BVO-15;500;43;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;2;Regr. BVO-50;501;95;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Beaupré, v;1;Regr. BVO-84;502;68;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Beaupré, v;1;Regr. BVO-83;503;107;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Château-Richer, v;1;Regr. BVO-103;504;72;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;L'Ange-Gardien, m;1;Regr. BVO-108;505;46;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Saint-Pierre-de-l'Île-d'Orléans, m;1;Regr. BVO-130;506;16;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Boischatel, m;1;Regr. BVO-113;507;54;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Boischatel, m;1;Regr. BVO-115;508;16;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Château-Richer, v;1;Regr. BVO-102;509;46;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;Baie-Saint-Paul, v;2;Regr. BVO-50;510;125;0;0;0;0;0;0;0;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA1: SV no 1 à 6;;;;0;1;4;25;72;37;37;176;4;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA2: SV no 7 à 12;;;;0;1;1;26;91;56;59;234;4;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA3: SV no 13 à 18;;;;0;1;1;27;139;74;70;312;5;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA4: SV no 19 à 24;;;;0;2;4;46;123;62;64;301;5;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA5: SV no 25 à 30;;;;0;0;0;14;57;14;24;109;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA6: SV no 31 à 36, 62 à 63;;;;0;2;1;11;58;47;26;145;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA7: SV no 37 à 42;;;;0;0;0;7;21;14;5;47;0;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA8: SV no 43 à 48;;;;0;4;0;50;139;65;104;362;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA9: SV no 49 à 53;;;;0;0;2;36;129;56;91;314;3;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA10: SV no 54 à 58;;;;0;4;2;30;106;88;108;338;5;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA11: SV no 59 à 61, 67 à 68;;;;0;0;0;24;42;29;37;132;1;
760;Charlevoix-Côte-de-Beaupré;2018-10-01;G;BVA12: SV no 64 à 66;;;;0;2;1;19;90;37;86;235;3;
