Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alarco Jérémie P.V.Q./G.P.Q.;Birnbaum David P.L.Q./Q.L.P.;Cohn Mélodie C.A.Q.-É.F.L.;Johnston Diane P.M.L.Q.;Kumuyange Jean-Claude Q.S.;Loran Yaniv P.C.Q./C.P.Q.;Pion Eliane P.Q.;Smit Leigh N.P.D.Q.;B.V.;B.R.
320;D'Arcy-McGee;2018-10-01;G;Montréal, v;139;;141;350;3;76;11;0;27;1;3;2;123;1
320;D'Arcy-McGee;2018-10-01;G;Montréal, v;139;;142;353;4;80;14;0;22;2;4;3;129;1
320;D'Arcy-McGee;2018-10-01;G;Montréal, v;139;;143;352;5;59;17;0;45;3;19;4;152;1
320;D'Arcy-McGee;2018-10-01;G;Montréal, v;139;;144;341;6;63;18;0;16;1;6;5;115;2
320;D'Arcy-McGee;2018-10-01;G;Montréal, v;139;;145;362;2;50;11;0;11;0;7;4;85;3
320;D'Arcy-McGee;2018-10-01;G;Montréal, v;402;;146;323;6;60;5;0;12;0;6;6;95;1
320;D'Arcy-McGee;2018-10-01;G;Montréal, v;402;;147;325;4;78;10;0;22;2;11;4;131;2
320;D'Arcy-McGee;2018-10-01;G;Montréal, v;402;;148;324;3;77;14;0;10;0;15;0;119;1
320;D'Arcy-McGee;2018-10-01;G;Montréal, v;402;;149;336;9;62;11;0;12;3;16;2;115;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;2;Regr. BVO-10;500;95;0;0;0;0;0;0;0;0;0;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;2;Regr. BVO-11;501;141;0;0;0;0;0;0;0;0;0;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;2;Regr. BVO-12;502;64;0;0;0;0;0;0;0;0;0;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;3;Regr. BVO-18;503;194;0;0;0;0;0;0;0;0;0;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;Regr. BVO-24;504;25;0;0;0;0;0;0;0;0;0;0
320;D'Arcy-McGee;2018-10-01;G;Montréal, v;124;Regr. BVO-58;505;43;0;0;0;0;0;0;0;0;0;0
320;D'Arcy-McGee;2018-10-01;G;Montréal, v;129;Regr. BVO-108;506;150;0;0;0;0;0;0;0;0;0;0
320;D'Arcy-McGee;2018-10-01;G;BVA1: SV no 1 à 7;;;;0;3;276;15;2;2;35;1;1;335;4
320;D'Arcy-McGee;2018-10-01;G;BVA2: SV no 8 à 14;;;;0;2;190;10;0;2;13;2;1;220;2
320;D'Arcy-McGee;2018-10-01;G;BVA3: SV no 15 à 22;;;;0;3;217;16;1;3;36;1;0;277;0
320;D'Arcy-McGee;2018-10-01;G;BVA4: SV no 23 à 30;;;;0;2;411;23;0;2;42;0;0;480;2
320;D'Arcy-McGee;2018-10-01;G;BVA5: SV no 31 à 38;;;;0;1;497;16;0;1;18;0;0;533;9
320;D'Arcy-McGee;2018-10-01;G;BVA6: SV no 39 à 46;;;;0;0;350;18;1;5;25;1;2;402;11
320;D'Arcy-McGee;2018-10-01;G;BVA7: SV no 47 à 54;;;;0;1;237;7;0;2;10;1;2;260;1
320;D'Arcy-McGee;2018-10-01;G;BVA8: SV no 55 à 62;;;;0;1;266;7;0;1;10;2;2;289;0
320;D'Arcy-McGee;2018-10-01;G;BVA9: SV no 63 à 69;;;;0;3;354;10;0;0;13;2;1;383;7
320;D'Arcy-McGee;2018-10-01;G;BVA10: SV no 70 à 76;;;;0;4;198;3;2;9;9;0;2;227;1
320;D'Arcy-McGee;2018-10-01;G;BVA11: SV no 77 à 83;;;;0;4;61;4;0;9;0;5;2;85;0
320;D'Arcy-McGee;2018-10-01;G;BVA12: SV no 84 à 91;;;;0;6;46;10;1;24;2;13;5;107;2
320;D'Arcy-McGee;2018-10-01;G;BVA13: SV no 92 à 98;;;;0;3;104;3;0;13;4;2;0;129;1
320;D'Arcy-McGee;2018-10-01;G;BVA14: SV no 99 à 105;;;;0;5;88;14;0;8;11;6;1;133;2
320;D'Arcy-McGee;2018-10-01;G;BVA15: SV no 106 à 112;;;;0;11;171;10;1;13;4;1;4;215;2
320;D'Arcy-McGee;2018-10-01;G;BVA16: SV no 113 à 119;;;;0;3;99;6;1;11;7;8;1;136;5
320;D'Arcy-McGee;2018-10-01;G;BVA17: SV no 120 à 127;;;;0;3;103;19;0;10;2;8;2;147;5
320;D'Arcy-McGee;2018-10-01;G;BVA18: SV no 128 à 134;;;;0;2;92;17;0;28;4;4;4;151;2
320;D'Arcy-McGee;2018-10-01;G;BVA19: SV no 135 à 141;;;;0;9;76;18;0;27;8;13;3;154;2
320;D'Arcy-McGee;2018-10-01;G;BVA20: SV no 142 à 149;;;;0;5;81;16;0;23;0;20;3;148;6
320;D'Arcy-McGee;2018-10-01;G;Vote en installation d'hébergement;;;;0;0;216;3;1;1;1;1;2;225;2
320;D'Arcy-McGee;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;0;40;2;1;1;1;0;0;45;0
320;D'Arcy-McGee;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;60;1767;141;5;163;156;57;20;2369;19
320;D'Arcy-McGee;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0
320;D'Arcy-McGee;2018-10-01;G;Vote hors circonscription;;;;0;29;134;27;1;109;13;15;12;340;5
320;D'Arcy-McGee;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;18;0;0;0;0;0;0;0;0;0;0
320;D'Arcy-McGee;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;11;0;0;0;0;0;0;0;0;0;0
320;D'Arcy-McGee;2018-10-01;G;Total de la circonscription;;;;55726;837;19085;1643;77;1861;1153;657;368;25681;265
320;D'Arcy-McGee;2018-10-01;G;Majorité en faveur de David Birnbaum : 17224;;;;;;;;;;;;;;
