Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Lalonde Simon Q.S.;Langlois Véronique P.V.Q./G.P.Q.;Lemieux Louis C.A.Q.-É.F.L.;Parent Vanessa P.L.Q./Q.L.P.;Perreault Philippe P.C.Q./C.P.Q.;Ruel Geneviève N.P.D.Q.;St-Jacques Louis C.P.Q.;Turcotte Dave P.Q.;B.V.;B.R.;
212;Saint-Jean;2018-10-01;G;BVA22: SV no 135 à 141;;;;0;39;5;211;88;3;1;1;127;475;22;
212;Saint-Jean;2018-10-01;G;BVA23: SV no 142 à 146, 162;;;;0;32;1;159;61;0;0;1;74;328;7;
212;Saint-Jean;2018-10-01;G;BVA24: SV no 147 à 152;;;;0;35;1;166;57;2;2;2;104;369;3;
212;Saint-Jean;2018-10-01;G;BVA25: SV no 153 à 158;;;;0;24;2;122;34;3;0;1;94;280;4;
212;Saint-Jean;2018-10-01;G;BVA26: SV no 159 à 161, 163 à 165;;;;0;31;5;140;46;3;1;0;100;326;7;
212;Saint-Jean;2018-10-01;G;Vote en installation d'hébergement;;;;0;25;11;208;220;10;7;6;174;661;32;
212;Saint-Jean;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;0;1;28;16;2;0;1;28;76;9;
212;Saint-Jean;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;349;24;1033;308;14;9;20;692;2449;25;
212;Saint-Jean;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;
212;Saint-Jean;2018-10-01;G;Vote hors circonscription;;;;0;131;9;56;32;2;1;0;61;292;6;
212;Saint-Jean;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;22;0;0;0;0;0;0;0;0;0;0;
212;Saint-Jean;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0;0;0;
212;Saint-Jean;2018-10-01;G;Total de la circonscription;;;;60761;6137;694;16789;4946;368;159;240;13171;42504;809;
212;Saint-Jean;2018-10-01;G;Majorité en faveur de Louis Lemieux : 3618
