Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Champigny-Fortier William Q.S.;Daigle Jacques P.Q.;Guay Gaudreault Lisette P.C.Q./C.P.Q.;Landry Jean A.P.Q.;Lefebvre Éric C.A.Q.-É.F.L.;Pelland Jean-Charles P.V.Q./G.P.Q.;Poirier Pierre P.L.Q./Q.L.P.;B.V.;B.R.
144;Arthabaska;2018-10-01;G;Princeville, v;1;;102;386;14;14;8;1;154;4;20;215;2
144;Arthabaska;2018-10-01;G;Princeville, v;1;;103;381;11;17;5;4;130;1;8;176;0
144;Arthabaska;2018-10-01;G;Princeville, v;1;;104;382;18;20;3;1;126;2;22;192;3
144;Arthabaska;2018-10-01;G;Princeville, v;1;;105;358;21;8;2;5;114;6;21;177;9
144;Arthabaska;2018-10-01;G;Princeville, v;1;;106;380;21;9;5;2;125;2;14;178;4
144;Arthabaska;2018-10-01;G;Princeville, v;1;;107;384;20;13;1;6;121;4;13;178;8
144;Arthabaska;2018-10-01;G;Princeville, v;1;;108;397;28;20;15;1;139;4;13;220;6
144;Arthabaska;2018-10-01;G;Princeville, v;1;;109;386;20;15;4;3;129;1;31;203;1
144;Arthabaska;2018-10-01;G;Princeville, v;1;;110;406;18;7;8;2;141;6;14;196;6
144;Arthabaska;2018-10-01;G;Villeroy, m;1;;111;377;20;15;10;2;147;3;28;225;32
144;Arthabaska;2018-10-01;G;Notre-Dame-de-Lourdes, p;1;;112;282;16;13;4;3;110;4;15;165;9
144;Arthabaska;2018-10-01;G;Notre-Dame-de-Lourdes, p;1;;113;272;14;13;3;2;129;1;9;171;0
144;Arthabaska;2018-10-01;G;Plessisville, v;1;;114;375;13;13;5;2;113;5;14;165;1
144;Arthabaska;2018-10-01;G;Plessisville, v;1;;115;382;25;14;4;4;103;4;6;160;6
144;Arthabaska;2018-10-01;G;Plessisville, v;1;;116;391;24;19;4;1;113;1;20;182;5
144;Arthabaska;2018-10-01;G;Plessisville, v;1;;117;416;35;16;4;2;153;1;26;237;5
144;Arthabaska;2018-10-01;G;Plessisville, v;1;;118;387;31;16;2;3;123;5;22;202;4
144;Arthabaska;2018-10-01;G;Plessisville, v;2;;119;384;16;21;6;1;134;1;27;206;3
144;Arthabaska;2018-10-01;G;Plessisville, v;2;;120;379;19;16;4;0;93;4;28;164;3
144;Arthabaska;2018-10-01;G;Plessisville, v;2;;121;374;31;12;2;1;72;2;17;137;6
144;Arthabaska;2018-10-01;G;Plessisville, v;2;;122;381;25;23;6;2;101;1;14;172;3
144;Arthabaska;2018-10-01;G;Plessisville, v;2;;123;389;20;16;5;1;147;4;17;210;2
144;Arthabaska;2018-10-01;G;Plessisville, v;2;;124;388;17;7;4;0;110;6;20;164;14
144;Arthabaska;2018-10-01;G;Plessisville, v;2;;125;393;22;10;1;0;105;3;22;163;2
144;Arthabaska;2018-10-01;G;Plessisville, v;2;;126;390;15;8;11;1;146;4;20;205;3
144;Arthabaska;2018-10-01;G;Plessisville, p;1;;127;413;15;17;17;3;120;2;13;187;0
144;Arthabaska;2018-10-01;G;Plessisville, p;1;;128;408;29;22;7;0;137;2;23;220;2
144;Arthabaska;2018-10-01;G;Plessisville, p;1;;129;402;14;16;13;1;142;2;35;223;0
144;Arthabaska;2018-10-01;G;Plessisville, p;1;;130;396;10;11;3;0;166;5;21;216;1
144;Arthabaska;2018-10-01;G;Plessisville, p;1;;131;399;20;25;7;2;123;3;16;196;1
144;Arthabaska;2018-10-01;G;Laurierville, m;1;;132;343;17;20;7;1;116;3;38;202;6
144;Arthabaska;2018-10-01;G;Laurierville, m;1;;133;355;15;9;15;1;125;0;20;185;7
144;Arthabaska;2018-10-01;G;Laurierville, m;1;;134;350;25;9;10;2;129;3;25;203;2
144;Arthabaska;2018-10-01;G;Lyster, m;1;;135;306;23;12;7;3;92;4;26;167;3
144;Arthabaska;2018-10-01;G;Lyster, m;1;;136;306;13;6;7;2;123;2;30;183;4
144;Arthabaska;2018-10-01;G;Lyster, m;1;;137;318;22;15;8;1;103;4;41;194;6
144;Arthabaska;2018-10-01;G;Lyster, m;1;;138;322;17;13;14;3;105;4;31;187;5
144;Arthabaska;2018-10-01;G;Inverness, m;1;;139;348;29;23;13;1;119;9;27;221;5
144;Arthabaska;2018-10-01;G;Inverness, m;1;;140;359;30;23;5;1;130;5;33;227;3
144;Arthabaska;2018-10-01;G;Saint-Pierre-Baptiste, p;1;;141;399;28;10;11;2;184;5;18;258;0
144;Arthabaska;2018-10-01;G;Sainte-Sophie-d'Halifax, m;1;;142;231;15;8;6;0;91;1;6;127;4
144;Arthabaska;2018-10-01;G;Sainte-Sophie-d'Halifax, m;1;;143;231;20;16;1;1;97;1;15;151;1
144;Arthabaska;2018-10-01;G;Saint-Ferdinand, m;1;;144;331;21;12;2;3;120;3;25;186;1
144;Arthabaska;2018-10-01;G;Saint-Ferdinand, m;1;;145;325;12;12;4;0;132;6;36;202;1
144;Arthabaska;2018-10-01;G;Saint-Ferdinand, m;1;;146;339;13;15;1;6;97;1;20;153;4
144;Arthabaska;2018-10-01;G;Saint-Ferdinand, m;1;;147;322;20;17;3;1;130;5;16;192;1
144;Arthabaska;2018-10-01;G;Saint-Ferdinand, m;1;;148;335;19;18;6;6;105;2;16;172;4
144;Arthabaska;2018-10-01;G;Saint-Norbert-d'Arthabaska, m;1;;149;309;28;20;11;3;108;1;13;184;1
144;Arthabaska;2018-10-01;G;Saint-Norbert-d'Arthabaska, m;1;;150;320;35;14;10;1;131;0;16;207;5
