Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Daniel P.C.Q./C.P.Q.;Bédard Jean P.M.L.Q.;Huot Alexandre P.Q.;Lamontagne Marie-Christine Q.S.;Lescarbeau Nicholas P.V.Q./G.P.Q.;Simard Jean-François Ind;Simard Jean-François C.A.Q.-É.F.L.;Trudel Marie France P.L.Q./Q.L.P.;B.V.;B.R.;
742;Montmorency;2018-10-01;G;BVA23: SV no 130 à 136;;;;0;13;0;37;37;5;10;172;65;339;9;
742;Montmorency;2018-10-01;G;BVA24: SV no 137 à 141;;;;0;16;0;32;30;1;2;146;26;253;5;
742;Montmorency;2018-10-01;G;BVA25: SV no 142 à 146;;;;0;13;1;28;31;5;5;208;73;364;4;
742;Montmorency;2018-10-01;G;BVA26: SV no 147 à 150;;;;0;13;0;28;34;5;4;113;61;258;8;
742;Montmorency;2018-10-01;G;Vote en installation d'hébergement;;;;0;6;3;21;9;3;5;48;38;133;1;
742;Montmorency;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;3;1;17;3;1;2;16;70;113;3;
742;Montmorency;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;91;3;332;340;32;48;1579;614;3039;49;
742;Montmorency;2018-10-01;G;Vote hors circonscription;;;;0;14;2;49;211;23;6;144;60;509;16;
742;Montmorency;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;29;0;0;0;0;0;0;0;0;0;0;
742;Montmorency;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;11;0;0;0;0;0;0;0;0;0;0;
742;Montmorency;2018-10-01;G;Total de la circonscription;;;;57179;1507;69;4221;5225;558;561;20233;7397;39771;802;
742;Montmorency;2018-10-01;G;Majorité en faveur de Jean-François Simard : 12836
