Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barrette Sylvain P.Q.;Bérubé Carl P.C.Q./C.P.Q.;Boutet Ginette P.M.L.Q.;Boutin Joëlle C.A.Q.-É.F.L.;Dahan Ali Ind;Diab Macarena P.V.Q./G.P.Q.;Nadji Hamid N.P.D.Q.;Pouleur Stéphane É.A.;Proulx Sébastien P.L.Q./Q.L.P.;Provost Patrick Q.S.;B.V.;B.R.;
702;Jean-Talon;2018-10-01;G;Québec, v;37;;109;366;34;3;0;48;3;3;1;0;65;40;197;2;
702;Jean-Talon;2018-10-01;G;Québec, v;37;;110;379;59;1;0;35;2;7;1;0;65;68;238;2;
702;Jean-Talon;2018-10-01;G;Québec, v;37;;111;390;46;0;0;42;2;5;3;0;70;56;224;2;
702;Jean-Talon;2018-10-01;G;Québec, v;38;;112;325;45;1;0;42;2;6;0;0;75;50;221;2;
702;Jean-Talon;2018-10-01;G;Québec, v;38;;113;344;32;2;0;43;4;3;0;0;55;55;194;1;
702;Jean-Talon;2018-10-01;G;Québec, v;38;;114;339;24;3;1;35;1;4;1;0;43;16;128;1;
702;Jean-Talon;2018-10-01;G;Québec, v;38;;115;337;34;6;2;20;3;5;3;0;37;54;164;2;
702;Jean-Talon;2018-10-01;G;Québec, v;38;;116;362;28;0;0;36;0;4;1;0;47;45;161;1;
702;Jean-Talon;2018-10-01;G;Québec, v;38;;117;349;36;3;0;24;0;2;1;0;58;36;160;2;
702;Jean-Talon;2018-10-01;G;Québec, v;38;;118;332;28;5;0;36;1;2;0;0;88;22;182;1;
702;Jean-Talon;2018-10-01;G;Québec, v;21;Regr. BVO-3;500;0;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Québec, v;27;Regr. BVO-51;501;218;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Québec, v;28;Regr. BVO-57;502;104;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Québec, v;32;Regr. BVO-79;503;207;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Québec, v;34;Regr. BVO-93;504;101;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Québec, v;34;Regr. BVO-93;505;178;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Québec, v;36;Regr. BVO-103;506;209;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Québec, v;36;Regr. BVO-103;507;38;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Québec, v;36;Regr. BVO-107;508;101;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Québec, v;37;Regr. BVO-111;509;159;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Québec, v;38;Regr. BVO-116;510;33;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;Québec, v;38;Regr. BVO-117;511;73;0;0;0;0;0;0;0;0;0;0;0;0;
702;Jean-Talon;2018-10-01;G;BVA1: SV no 63 à 67;;;;0;39;4;0;116;2;5;3;1;124;18;312;5;
702;Jean-Talon;2018-10-01;G;BVA2: SV no 61, 96 à 101;;;;0;29;3;0;61;0;2;1;0;87;33;216;1;
702;Jean-Talon;2018-10-01;G;BVA3: SV no 58 à 60, 62;;;;0;55;2;1;84;1;1;2;0;128;30;304;3;
702;Jean-Talon;2018-10-01;G;BVA4: SV no 19 à 20, 23, 30, 44, 52;;;;0;50;6;1;128;2;4;1;0;131;41;364;3;
702;Jean-Talon;2018-10-01;G;BVA5: SV no 18, 24, 31, 40, 42, 50;;;;0;42;3;2;141;3;1;3;0;107;56;358;3;
