Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benoit J. Marion P.Q.;Colangelo Lauzon Mikey P.C.Q./C.P.Q.;Kuhn Samuel Dajakran P.V.Q./G.P.Q.;Lawson Nicholas Peter N.P.D.Q.;Maccarone Jennifer P.L.Q./Q.L.P.;Morin Michelle C.A.Q.-É.F.L.;Piskunova Ekaterina Q.S.;B.V.;B.R.
332;Westmount-Saint-Louis;2018-10-01;G;BVA16: SV no 74 à 76, 81 à 82, 98, 100;;;;0;38;6;2;5;115;26;61;253;1
332;Westmount-Saint-Louis;2018-10-01;G;Vote en installation d'hébergement;;;;0;42;21;11;26;260;53;36;449;19
332;Westmount-Saint-Louis;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;5;4;0;3;40;3;2;57;1
332;Westmount-Saint-Louis;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;67;39;47;48;982;146;164;1493;10
332;Westmount-Saint-Louis;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
332;Westmount-Saint-Louis;2018-10-01;G;Vote hors circonscription;;;;0;19;1;10;6;74;6;71;187;8
332;Westmount-Saint-Louis;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;62;0;0;0;0;0;0;0;0;0
332;Westmount-Saint-Louis;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;8;0;0;0;0;0;0;0;0;0
332;Westmount-Saint-Louis;2018-10-01;G;Total de la circonscription;;;;45352;1105;479;730;598;14547;2110;2236;21805;178
332;Westmount-Saint-Louis;2018-10-01;G;Majorité en faveur de Jennifer Maccarone : 12311;;;;;;;;;;;;;
