Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Gloriane P.Q.;Dodier Sylvain P.V.Q./G.P.Q.;Jacques François C.A.Q.-É.F.L.;Larrivée Andrée Q.S.;Roy Robert G. P.L.Q./Q.L.P.;Veilleux Richard C.P.Q.;B.V.;B.R.;
104;Mégantic;2018-10-01;G;BVA10: SV no 49 à 52, 74 à 76;;;;0;29;4;90;34;58;0;215;3;
104;Mégantic;2018-10-01;G;BVA11: SV no 102 à 107;;;;0;69;6;229;80;60;2;446;2;
104;Mégantic;2018-10-01;G;BVA12: SV no 59 à 66, 68;;;;0;86;6;199;66;119;1;477;4;
104;Mégantic;2018-10-01;G;BVA13: SV no 53, 57 à 58, 69 à 73;;;;0;27;5;65;12;51;0;160;0;
104;Mégantic;2018-10-01;G;BVA14: SV no 11 à 17;;;;0;55;3;208;47;86;4;403;7;
104;Mégantic;2018-10-01;G;BVA15: SV no 18 à 23;;;;0;32;3;138;38;61;1;273;4;
104;Mégantic;2018-10-01;G;Vote en installation d'hébergement;;;;0;34;5;83;23;96;3;244;5;
104;Mégantic;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;16;4;50;6;80;1;157;8;
104;Mégantic;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;294;36;1131;301;448;20;2230;20;
104;Mégantic;2018-10-01;G;Vote hors circonscription;;;;0;22;11;49;110;17;1;210;7;
104;Mégantic;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;8;0;0;0;0;0;0;0;0;
104;Mégantic;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;3;0;0;0;0;0;0;0;0;
104;Mégantic;2018-10-01;G;Total de la circonscription;;;;38856;3325;809;12593;4228;5257;281;26493;377;
104;Mégantic;2018-10-01;G;Majorité en faveur de François Jacques : 7336
