Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourcier Marc P.Q.;Brien Sylvie C.P.Q.;Chassin Youri C.A.Q.-É.F.L.;Desrochers Annabelle P.V.Q./G.P.Q.;Duhaime Ève Q.S.;Michaud Normand P.C.Q./C.P.Q.;Poulin Antoine P.L.Q./Q.L.P.;Simon Christine N.P.D.Q.;Starnino Giuseppe P.L.;B.V.;B.R.;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;23;;156;381;57;1;96;2;33;0;12;3;0;204;3;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;23;;157;389;60;0;95;8;27;2;14;0;0;206;5;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;23;;158;419;55;1;91;2;33;0;14;1;0;197;2;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;6;Regr. BVO-48;500;1;0;0;0;0;0;0;0;0;0;0;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;7;Regr. BVO-56;501;1;0;0;0;0;0;0;0;0;0;0;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;9;Regr. BVO-64;502;175;0;0;0;0;0;0;0;0;0;0;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;12;Regr. BVO-96;503;107;0;0;0;0;0;0;0;0;0;0;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;Regr. BVO-103;504;239;0;0;0;0;0;0;0;0;0;0;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;Regr. BVO-104;505;163;0;0;0;0;0;0;0;0;0;0;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;Regr. BVO-102;506;196;0;0;0;0;0;0;0;0;0;0;0;
526;Saint-Jérôme;2018-10-01;G;Saint-Jérôme, v;14;Regr. BVO-108;507;126;0;0;0;0;0;0;0;0;0;0;0;
