Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Anglade Dominique P.L.Q./Q.L.P.;Duford Jean-Pierre P.V.Q./G.P.Q.;Ella-Oyono Dieudonné P.Q.;Gagnon-Paquin Félix B.P.;Hamel Sylvie C.A.Q.-É.F.L.;Orchard Caroline P.C.Q./C.P.Q.;Racette Benoit Q.S.;Scott Steven N.P.D.Q.;Sullivan Linda P.M.L.Q.;Young Christopher C.I.N.Q.;B.V.;B.R.;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;102;;91;403;90;9;11;1;12;0;37;4;3;0;167;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;102;;92;401;62;13;11;3;13;4;45;1;1;0;153;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;102;;93;416;130;3;2;0;12;3;26;6;1;0;183;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;102;;94;410;103;7;8;1;23;3;12;3;0;1;161;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;102;;95;397;74;8;16;0;21;1;41;6;0;1;168;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;102;;96;404;110;3;20;0;13;2;25;2;0;0;175;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;102;;97;418;100;4;10;0;15;1;21;10;0;0;161;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;102;;98;408;122;11;19;1;24;1;24;4;0;1;207;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;102;;99;389;108;4;18;0;22;1;15;8;0;0;176;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;100;398;93;1;15;1;18;2;32;5;1;1;169;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;101;382;85;6;18;0;17;2;13;2;0;1;144;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;102;387;77;1;1;0;4;3;12;2;0;0;100;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;103;391;140;4;4;1;7;1;12;2;1;1;173;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;104;392;103;10;8;0;20;6;14;2;0;0;163;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;105;395;52;8;11;2;16;2;20;4;0;2;117;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;106;402;87;4;13;1;11;1;15;1;1;0;134;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;107;368;75;6;18;1;34;2;39;1;0;0;176;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;108;388;73;5;16;0;40;2;28;3;0;0;167;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;;109;362;66;4;15;0;25;1;33;2;0;1;147;3;
