Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benoit Jeff P.C.Q./C.P.Q.;Chassé Marie-Chantal C.A.Q.-É.F.L.;Garcia-McDiarmid Sandrine Q.S.;Masucci-Lauzon Marie-Ève N.P.D.Q.;Moreau Pierre P.L.Q./Q.L.P.;Stevenson Stephanie P.V.Q./G.P.Q.;Thériault Jean-Philippe P.Q.;B.V.;B.R.
226;Châteauguay;2018-10-01;G;BVA19: SV no 22, 30, 95 à 99;;;;0;0;77;22;0;51;0;29;179;4
226;Châteauguay;2018-10-01;G;Vote en installation d'hébergement;;;;0;5;179;16;7;229;3;35;474;13
226;Châteauguay;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;1;14;5;3;23;0;8;54;1
226;Châteauguay;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;22;766;198;12;748;26;246;2018;34
226;Châteauguay;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
226;Châteauguay;2018-10-01;G;Vote hors circonscription;;;;0;2;43;83;4;56;11;38;237;5
226;Châteauguay;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;15;0;0;0;0;0;0;0;0;0
226;Châteauguay;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;9;0;0;0;0;0;0;0;0;0
226;Châteauguay;2018-10-01;G;Total de la circonscription;;;;52642;458;12259;4236;310;11138;624;4055;33080;539
226;Châteauguay;2018-10-01;G;Majorité en faveur de Marie-Chantal Chassé : 1121;;;;;;;;;;;;;
