Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barone Mauro C.A.Q.-É.F.L.;Cappelletti Dwayne P.L.;Charbonneau Francine P.L.Q./Q.L.P.;D'Aoust Jason B.P.;Joseph Alain P.V.Q./G.P.Q.;Lachance Michel P.Q.;Trudelle Jean Q.S.;B.V.;B.R.;
482;Mille-Îles;2018-10-01;G;BVA6: SV no 36 à 42;;;;0;130;2;159;0;6;48;18;363;4;
482;Mille-Îles;2018-10-01;G;BVA7: SV no 43 à 50;;;;0;69;3;150;0;1;15;12;250;2;
482;Mille-Îles;2018-10-01;G;BVA8: SV no 59 à 64;;;;0;84;2;40;3;2;55;31;217;4;
482;Mille-Îles;2018-10-01;G;BVA9: SV no 65 à 70;;;;0;98;1;69;0;4;36;19;227;1;
482;Mille-Îles;2018-10-01;G;BVA10: SV no 51 à 58;;;;0;114;2;55;1;7;56;22;257;3;
482;Mille-Îles;2018-10-01;G;BVA11: SV no 71 à 77;;;;0;60;1;57;2;1;39;27;187;3;
482;Mille-Îles;2018-10-01;G;BVA12: SV no 78 à 84;;;;0;81;0;94;1;5;34;22;237;4;
482;Mille-Îles;2018-10-01;G;BVA13: SV no 85 à 91;;;;0;101;0;43;0;3;61;19;227;3;
482;Mille-Îles;2018-10-01;G;BVA14: SV no 92 à 98;;;;0;72;3;47;0;4;34;20;180;3;
482;Mille-Îles;2018-10-01;G;BVA15: SV no 99 à 105;;;;0;123;1;48;0;1;48;17;238;3;
482;Mille-Îles;2018-10-01;G;BVA16: SV no 106 à 113;;;;0;80;0;51;1;7;40;29;208;3;
482;Mille-Îles;2018-10-01;G;Vote en installation d'hébergement;;;;0;33;1;34;0;0;18;10;96;5;
482;Mille-Îles;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;14;0;9;0;2;5;2;32;1;
482;Mille-Îles;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;707;18;735;4;30;285;202;1981;28;
482;Mille-Îles;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
482;Mille-Îles;2018-10-01;G;Vote hors circonscription;;;;0;72;6;82;3;24;53;143;383;12;
482;Mille-Îles;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;17;0;0;0;0;0;0;0;0;0;
482;Mille-Îles;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;77;0;0;0;0;0;0;0;0;0;
482;Mille-Îles;2018-10-01;G;Total de la circonscription;;;;44374;9202;403;10408;134;822;4378;3711;29058;439;
482;Mille-Îles;2018-10-01;G;Majorité en faveur de Francine Charbonneau : 1206
