Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brulé Martin P.L.;Charette Benoit C.A.Q.-É.F.L.;Dagenais Isabelle P.V.Q./G.P.Q.;Diop Fabienne Fatou P.L.Q./Q.L.P.;Emond Eric C.I.N.Q.;Fodor Delia P.C.Q./C.P.Q.;Goyer Daniel P.Q.;Lesage-Lanthier Audrey Q.S.;Paré Denis C.P.Q.;Roker Jr Hans B.P.;B.V.;B.R.;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;12;;120;364;2;111;8;26;0;4;41;28;2;0;222;6;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;12;;121;378;3;122;4;12;0;1;44;48;4;1;239;6;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;12;;122;367;0;114;6;37;0;1;46;41;0;0;245;2;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;12;;123;377;1;114;2;34;1;4;37;55;0;1;249;2;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;1;Regr. BVO-2;500;47;0;0;0;0;0;0;0;0;0;0;0;0;
508;Deux-Montagnes;2018-10-01;G;Deux-Montagnes, v;4;Regr. BVO-31;501;217;0;0;0;0;0;0;0;0;0;0;0;0;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;1;Regr. BVO-36;502;181;0;0;0;0;0;0;0;0;0;0;0;0;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;1;Regr. BVO-37;503;81;0;0;0;0;0;0;0;0;0;0;0;0;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;2;Regr. BVO-42;504;294;0;0;0;0;0;0;0;0;0;0;0;0;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;10;Regr. BVO-104;505;53;0;0;0;0;0;0;0;0;0;0;0;0;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;11;Regr. BVO-108;506;94;0;0;0;0;0;0;0;0;0;0;0;0;
508;Deux-Montagnes;2018-10-01;G;Saint-Eustache, v;11;Regr. BVO-108;507;422;0;0;0;0;0;0;0;0;0;0;0;0;
508;Deux-Montagnes;2018-10-01;G;BVA1: SV no 1 à 8;;;;0;1;178;12;104;0;2;67;56;3;1;424;5;
