Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Campeau Yannick P.C.Q./C.P.Q.;Mantion François N.P.D.Q.;Mathieu Tommy C.P.Q.;Reid Claude C.A.Q.-É.F.L.;Rhéaume Félix P.L.Q./Q.L.P.;St-Onge Pierre-Paul Q.S.;Théorêt Mireille P.Q.;B.V.;B.R.
218;Beauharnois;2018-10-01;G;BVA17: SV no 117 à 126;;;;0;1;5;4;170;66;42;72;360;6
218;Beauharnois;2018-10-01;G;Vote en installation d'hébergement;;;;0;16;21;11;201;186;39;88;562;16
218;Beauharnois;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;3;7;3;38;20;1;24;96;3
218;Beauharnois;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;6;22;21;913;263;267;399;1891;55
218;Beauharnois;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
218;Beauharnois;2018-10-01;G;Vote hors circonscription;;;;0;1;2;1;50;23;92;34;203;9
218;Beauharnois;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;10;0;0;0;0;0;0;0;0;0
218;Beauharnois;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;15;0;0;0;0;0;0;0;0;0
218;Beauharnois;2018-10-01;G;Total de la circonscription;;;;47666;288;459;429;14947;4069;4816;6995;32003;706
218;Beauharnois;2018-10-01;G;Majorité en faveur de Claude Reid : 7952;;;;;;;;;;;;;
