Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cadôret Goulimine Sylvie Q.S.;Couture Vincent P.Q.;D'Amour Jean P.L.Q./Q.L.P.;Perron Martin P.C.Q./C.P.Q.;Tardif Denis C.A.Q.-É.F.L.;B.V.;B.R.;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;1;Regr. BVO-7;504;31;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;1;Regr. BVO-10;505;52;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;2;Regr. BVO-18;506;92;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;3;Regr. BVO-22;507;44;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Rivière-du-Loup, v;3;Regr. BVO-24;508;41;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Trois-Pistoles, v;2;Regr. BVO-87;509;37;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Trois-Pistoles, v;2;Regr. BVO-87;510;54;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Trois-Pistoles, v;2;Regr. BVO-88;511;4;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Dégelis, v;1;Regr. BVO-101;512;46;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;Témiscouata-sur-le-Lac, v;1;Regr. BVO-124;513;83;0;0;0;0;0;0;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA1: SV no 1 à 5;;;;0;19;38;102;0;98;257;4;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA2: SV no 6 à 9;;;;0;10;28;138;3;100;279;5;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA3: SV no 10 à 13;;;;0;11;18;89;1;103;222;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA4: SV no 14 à 19;;;;0;25;42;95;2;89;253;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA5: SV no 20 à 25;;;;0;24;43;152;2;127;348;5;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA6: SV no 26 à 29;;;;0;9;27;90;0;76;202;4;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA7: SV no 30 à 33;;;;0;6;29;58;1;66;160;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA8: SV no 34 à 36;;;;0;10;19;50;2;54;135;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA9: SV no 37 à 40;;;;0;9;22;51;3;73;158;2;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA10: SV no 41 à 44;;;;0;9;19;66;1;77;172;2;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA11: SV no 45 à 48;;;;0;6;27;65;2;94;194;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA12: SV no 49 à 52;;;;0;29;29;96;3;98;255;2;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA13: SV no 53 à 56;;;;0;3;6;14;2;18;43;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA14: SV no 57 à 61;;;;0;7;14;40;3;38;102;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA15: SV no 62 à 65;;;;0;31;39;87;1;91;249;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA16: SV no 66 à 70;;;;0;6;2;26;0;23;57;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA17: SV no 71 à 75;;;;0;15;32;84;3;92;226;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA18: SV no 76 à 80;;;;0;20;25;53;0;57;155;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA19: SV no 81 à 84;;;;0;28;34;90;0;68;220;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA20: SV no 85 à 88;;;;0;15;29;80;1;70;195;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA21: SV no 89 à 93, 150;;;;0;18;14;27;1;35;95;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA22: SV no 94 à 97;;;;0;13;12;27;1;23;76;2;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA23: SV no 98 à 100;;;;0;19;29;71;3;99;221;2;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA24: SV no 101 à 103;;;;0;12;28;79;2;93;214;3;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA25: SV no 104 à 108;;;;0;8;36;65;1;89;199;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA26: SV no 109 à 111;;;;0;2;6;8;0;3;19;0;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA27: SV no 113 à 115;;;;0;13;10;39;3;22;87;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA28: SV no 112, 116 à 120;;;;0;17;28;51;1;64;161;1;
834;Rivière-du-Loup-Témiscouata;2018-10-01;G;BVA29: SV no 121 à 123;;;;0;10;39;68;1;66;184;0;
