Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bruneau Marie-Josée P.Q.;Colly Garnet P.M.L.Q.;Dallaire Sylvain P.C.Q./C.P.Q.;Hétu Sylvie P.V.Q./G.P.Q.;Petrari Sarah C.A.Q.-É.F.L.;Rotiroti Filomena P.L.Q./Q.L.P.;Seck Ismaël Q.S.;B.V.;B.R.;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;100;413;4;0;1;2;25;120;10;162;5;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;101;393;5;0;1;6;37;109;14;172;3;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;102;397;14;1;3;9;34;126;17;204;5;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;103;391;12;1;10;1;18;138;12;192;2;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;104;401;13;0;1;2;33;124;20;193;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;105;385;9;0;4;2;33;93;16;157;4;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;106;382;9;0;2;6;21;83;19;140;3;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;107;401;5;0;3;7;29;136;8;188;1;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;108;399;8;0;1;2;30;73;17;131;3;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;109;406;13;1;4;4;23;134;12;191;8;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;110;390;12;1;1;1;24;134;12;185;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;111;400;6;0;4;2;35;108;24;179;2;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;;112;404;19;0;3;4;27;117;12;182;3;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;113;389;9;0;0;2;33;115;13;172;5;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;114;401;3;1;1;4;27;128;26;190;4;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;115;421;9;0;4;6;25;151;11;206;3;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;116;409;11;0;2;10;38;144;16;221;5;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;117;393;17;0;3;5;24;104;26;179;9;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;118;402;11;2;2;11;26;136;16;204;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;119;403;3;2;0;4;16;119;21;165;9;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;120;407;6;1;4;5;15;128;9;168;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;121;385;6;0;2;2;22;100;12;144;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;122;378;7;1;7;1;22;101;13;152;5;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;123;389;15;0;2;2;26;112;3;160;1;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;124;402;13;0;1;2;16;117;16;165;3;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;;125;394;9;0;6;3;26;135;11;190;5;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;303;Regr. BVO-80;500;150;0;0;0;0;0;0;0;0;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;304;Regr. BVO-84;501;472;0;0;0;0;0;0;0;0;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;Regr. BVO-101;502;114;0;0;0;0;0;0;0;0;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;Regr. BVO-99;503;119;0;0;0;0;0;0;0;0;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;Regr. BVO-100;504;208;0;0;0;0;0;0;0;0;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;Regr. BVO-102;505;213;0;0;0;0;0;0;0;0;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;307;Regr. BVO-103;506;198;0;0;0;0;0;0;0;0;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Montréal, v;306;Regr. BVO-107;507;148;0;0;0;0;0;0;0;0;0;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA1: SV no 1 à 7;;;;0;8;0;2;0;29;103;6;148;0;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA2: SV no 8 à 14;;;;0;7;0;4;2;31;68;10;122;1;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA3: SV no 15 à 21;;;;0;3;2;0;3;24;68;13;113;3;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA4: SV no 22 à 28;;;;0;21;0;2;8;45;132;19;227;3;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA5: SV no 29 à 35;;;;0;7;0;2;1;32;114;8;164;2;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA6: SV no 36 à 42;;;;0;11;0;0;3;34;80;13;141;2;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA7: SV no 43 à 48;;;;0;7;0;0;4;35;60;5;111;3;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA8: SV no 49 à 54;;;;0;5;1;0;3;30;84;10;133;5;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA9: SV no 55 à 60;;;;0;15;0;1;2;26;94;15;153;3;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA10: SV no 61 à 66;;;;0;12;0;2;1;39;107;14;175;6;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA11: SV no 67 à 73;;;;0;10;0;2;1;23;59;4;99;2;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA12: SV no 74 à 80;;;;0;8;0;1;4;35;73;4;125;7;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA13: SV no 81 à 87;;;;0;19;2;2;3;53;95;11;185;5;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA14: SV no 88 à 93;;;;0;19;0;1;2;46;102;22;192;6;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA15: SV no 94 à 99;;;;0;17;0;2;2;57;145;15;238;1;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA16: SV no 100 à 105;;;;0;14;0;2;2;28;97;6;149;3;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA17: SV no 106 à 111;;;;0;15;0;1;1;37;67;9;130;2;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA18: SV no 112 à 118;;;;0;5;0;0;2;12;68;6;93;1;
364;Jeanne-Mance-Viger;2018-10-01;G;BVA19: SV no 119 à 125;;;;0;20;0;0;0;27;85;8;140;1;
364;Jeanne-Mance-Viger;2018-10-01;G;Vote en installation d'hébergement;;;;0;122;13;8;17;279;474;37;950;29;
364;Jeanne-Mance-Viger;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;6;0;0;0;13;38;2;59;1;
364;Jeanne-Mance-Viger;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;75;4;11;26;200;674;113;1103;16;
364;Jeanne-Mance-Viger;2018-10-01;G;Vote hors circonscription;;;;0;17;1;1;11;22;107;65;224;21;
364;Jeanne-Mance-Viger;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;12;0;0;0;0;0;0;0;0;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;9;0;0;0;0;0;0;0;0;0;
364;Jeanne-Mance-Viger;2018-10-01;G;Total de la circonscription;;;;50660;1523;83;391;570;4445;18215;2237;27464;538;
364;Jeanne-Mance-Viger;2018-10-01;G;Majorité en faveur de Filomena Rotiroti : 13770
