Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benoit Serge P.C.Q./C.P.Q.;Desjardins Dany B.P.;Dionne Nicolas P.Q.;Gaudreau Mylène P.L.Q./Q.L.P.;Jetten-Vigeant Philippe Q.S.;Kolatschek Michelle P.V.Q./G.P.Q.;Renaud Marc-André N.P.D.Q.;Samson Claire C.A.Q.-É.F.L.;B.V.;B.R.;
210;Iberville;2018-10-01;G;BVA19: SV no 113 à 118;;;;0;8;1;44;37;33;8;1;131;263;5;
210;Iberville;2018-10-01;G;BVA20: SV no 119 à 125;;;;0;1;1;29;26;22;1;2;102;184;7;
210;Iberville;2018-10-01;G;Vote en installation d'hébergement;;;;0;19;5;45;126;32;2;3;139;371;19;
210;Iberville;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;3;4;20;42;6;4;6;45;130;8;
210;Iberville;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;29;5;295;244;254;26;12;905;1770;22;
210;Iberville;2018-10-01;G;Vote hors circonscription;;;;0;4;3;44;21;181;12;5;75;345;13;
210;Iberville;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;8;0;0;0;0;0;0;0;0;0;0;
210;Iberville;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;9;0;0;0;0;0;0;0;0;0;0;
210;Iberville;2018-10-01;G;Total de la circonscription;;;;48072;583;258;5857;4106;5779;631;269;15892;33375;697;
210;Iberville;2018-10-01;G;Majorité en faveur de Claire Samson : 10035
